測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Unnamed: 27
二林,2023/01/01 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
二林,2023/01/01 00:00:00,WIND_DIREC,22,21,33,48,7,38,19,45,26,11,13,16,13,15,14,17,9,2,9,5,8,15,29,19,
二林,2023/01/01 00:00:00,WIND_SPEED,2.2,1.8,2.5,2.4,1.4,1.8,1.9,2.4,2.4,1.9,3.3,4.8,4.5,4.7,5,3.9,4.3,4.2,5,3.6,3.8,4,4,3.5,
二林,2023/01/02 00:00:00,RAINFALL,0,0,0,1,0.5,0.5,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
二林,2023/01/02 00:00:00,WIND_DIREC,5,22,34,5,14,7,359,4,43,9,0,26,17,13,21,29,21,10,23,30,33,32,24,23,
二林,2023/01/02 00:00:00,WIND_SPEED,3.2,4.9,3.7,2.5,2.2,2.4,1.4,2.4,3.2,3.4,4,5.6,4.5,4.6,5.6,6.7,4.2,3.8,5.9,4.4,6.1,4.9,4.8,4.4,
二林,2023/01/03 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
二林,2023/01/03 00:00:00,WIND_DIREC,26,26,40,32,37,19,17,24,15,12,25,26,18,26,23,28,25,25,27,23,33,29,32,17,
二林,2023/01/03 00:00:00,WIND_SPEED,4.9,4.8,4.6,5.3,5.7,3.5,4.2,6,4.2,3.2,5,5.1,4.7,5.4,6,5.8,5.7,4.5,4.8,4.3,4.9,5.2,4.3,2.9,
二林,2023/01/04 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
二林,2023/01/04 00:00:00,WIND_DIREC,36,30,24,27,32,30,32,23,25,35,31,22,6,5,13,7,8,7,16,23,24,16,31,37,
二林,2023/01/04 00:00:00,WIND_SPEED,4.5,4.6,4.7,4.9,4.7,4,4.5,4.2,4.7,4.3,3.2,3.1,5,4.5,4.5,4.9,4.2,4.9,3.6,3.1,3.3,2.7,2.6,1.9,
二林,2023/01/05 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#,#,0,0,0,0,0,0,0,0,
二林,2023/01/05 00:00:00,WIND_DIREC,35,33,43,28,31,37,29,32,6,32,18,13,29,24,22,26,17,27,19,24,11,9,10,20,
二林,2023/01/05 00:00:00,WIND_SPEED,2,2.5,2.1,2.6,4.9,4.6,4.3,5.8,4,6.7,6.2,5.7,6.5,6.3,5.7,4.9,4.7,5.7,4,4.5,3.9,3.8,3.2,2.9,
二林,2023/01/06 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
二林,2023/01/06 00:00:00,WIND_DIREC,19,19,20,14,12,15,17,27,23,23,25,23,15,26,13,24,26,25,26,32,21,28,12,26,
二林,2023/01/06 00:00:00,WIND_SPEED,3.4,3.5,2.6,3.1,4.8,3.7,4,5.6,6.1,6.6,6.5,6.9,6.6,6.3,6.2,6.5,6.5,5.3,5,4,3.5,2.7,2.7,3.1,
二林,2023/01/07 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
二林,2023/01/07 00:00:00,WIND_DIREC,17,24,23,28,26,27,28,26,35,39,42,357,0,8,4,4,6,10,4,358,2,7,18,9,
二林,2023/01/07 00:00:00,WIND_SPEED,3.5,4.4,4.2,4.4,4.6,4.5,4.3,3.7,4.5,4.3,3.8,3.2,3.8,4.4,4.1,3.7,3.9,3.2,2.6,2.4,2.4,2.2,1.5,1.1,
二林,2023/01/08 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
