測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Unnamed: 27
前鎮,2023/01/01 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
前鎮,2023/01/01 00:00:00,WIND_DIREC,358,22,5,11,7,358,13,17,21,349,354,358,12,0,16,350,3,7,14,21,1,11,5,13,
前鎮,2023/01/01 00:00:00,WIND_SPEED,1.8,2.1,1.8,1.9,1.5,1.6,1.7,2.6,2.3,1.6,1.7,1.5,1.3,1.8,1.2,1.3,1.7,1.9,2.2,2.4,1.4,2.1,2.3,1.7,
前鎮,2023/01/02 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
前鎮,2023/01/02 00:00:00,WIND_DIREC,12,12,14,16,18,9,7,8,10,11,4,16,9,3,11,1,5,11,13,10,13,8,14,3,
前鎮,2023/01/02 00:00:00,WIND_SPEED,2.5,2.7,2.3,2.6,2.6,2.3,1.9,2.3,3.1,2.8,3,2.5,2.6,2.1,1.9,2.2,2.3,1.8,1.9,2.6,2.4,2.1,2.3,1.9,
前鎮,2023/01/03 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
前鎮,2023/01/03 00:00:00,WIND_DIREC,5,13,8,19,5,358,8,14,10,5,350,6,354,3,340,15,5,9,5,354,0,21,360,17,
前鎮,2023/01/03 00:00:00,WIND_SPEED,2,1.8,1.7,1.9,1.5,1.5,1.4,1.9,1.8,1.7,2.5,3.2,2.8,2.4,2.1,2.8,2.2,2.2,2.4,2.3,2.6,2.4,2.8,2.3,
前鎮,2023/01/04 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
前鎮,2023/01/04 00:00:00,WIND_DIREC,12,13,16,14,18,14,25,17,12,0,318,20,309,343,341,302,343,331,351,6,5,0,6,14,
前鎮,2023/01/04 00:00:00,WIND_SPEED,2.7,2.6,2.1,1.9,3.1,2.1,3.2,2.3,1.8,1.5,1.3,1.4,1.1,1.7,1.2,0.8,1.2,0.5,1.3,2.3,2.1,2.3,2.3,2.4,
前鎮,2023/01/05 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
前鎮,2023/01/05 00:00:00,WIND_DIREC,17,19,19,22,16,17,17,15,6,348,356,318,17,327,340,332,311,276,332,328,17,17,13,8,
前鎮,2023/01/05 00:00:00,WIND_SPEED,2.6,2.1,2.7,2.2,2.1,2.6,2.7,2.8,2.8,1.8,2,1.6,1.5,1.4,1.5,1.4,0.2,0.2,0.2,0.2,2.1,2.3,2.3,2.1,
前鎮,2023/01/06 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,#,0,0,#,#,0,0,0,0,0,0,
前鎮,2023/01/06 00:00:00,WIND_DIREC,4,13,19,16,21,18,14,2,4,12,7,0,317,348,327,309,326,13,11,6,3,14,5,15,
前鎮,2023/01/06 00:00:00,WIND_SPEED,2.3,1.7,2.4,2.6,2.9,2.4,2.8,2.2,2.5,3.5,2.5,2.3,2.2,2.5,1.4,1.3,2,2.2,3,2.8,2.3,2.3,1.5,1.6,
前鎮,2023/01/07 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
前鎮,2023/01/07 00:00:00,WIND_DIREC,7,4,338,357,12,3,4,7,9,15,216,194,7,4,347,192,205,247,250,171,232,31,276,290,
前鎮,2023/01/07 00:00:00,WIND_SPEED,1.4,1.1,1.1,1.5,1.9,1.2,1.7,1.7,1.6,1,1,1.2,1.6,1.6,1,1.4,1,0.3,0.3,0.7,0.4,0.4,0.2,0.2,
前鎮,2023/01/08 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
前鎮,2023/01/08 00:00:00,WIND_DIREC,202,8,12,13,341,17,359,319,5,347,342,9,5,329,344,303,353,321,293,321,324,349,204,19,
前鎮,2023/01/08 00:00:00,WIND_SPEED,0.4,1.1,1.3,1.3,0.6,1.1,1.2,0.9,1.5,1.5,1.1,1,1.7,1.3,1.8,1.3,1.3,0.6,0.2,0.2,0.2,0.3,0.2,2.2,
前鎮,2023/01/09 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
前鎮,2023/01/09 00:00:00,WIND_DIREC,353,16,348,355,9,229,319,337,5,11,13,14,16,352,342,4,358,348,6,347,2,356,292,339,
前鎮,2023/01/09 00:00:00,WIND_SPEED,1.4,1.6,0.7,1.3,0.5,0.3,0.4,1.2,2,1.6,1.8,1.5,1.3,1.9,2.2,2.1,2.6,1.7,1.6,1.6,1,1.2,0.2,1.2,
前鎮,2023/01/10 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
前鎮,2023/01/10 00:00:00,WIND_DIREC,332,354,358,8,353,140,184,6,6,354,354,7,300,335,20,19,17,8,358,349,7,7,8,20,
前鎮,2023/01/10 00:00:00,WIND_SPEED,0.9,1.2,1.2,0.9,0.8,0.2,0.2,1.8,1.5,1.3,2,1.3,1.8,2.9,2.7,2.2,2.4,2.3,1.9,1,1,1.4,1.6,1.6,
