測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Unnamed: 27
善化,2023/01/01 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
善化,2023/01/01 00:00:00,WIND_DIREC,352,359,354,16,351,0,350,354,1,7,354,349,357,0,9,359,355,356,357,356,354,356,359,343,
善化,2023/01/01 00:00:00,WIND_SPEED,2,0.9,2.4,1.9,1.5,1.2,1.4,1.9,2.4,2.9,2.1,2.5,2.7,3.1,3.1,3.8,3.6,3.1,2.5,1.8,3.2,2.4,2,1.5,
善化,2023/01/02 00:00:00,RAINFALL,0,0,0,0,0,0,0.5,0.5,0,0.5,0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,
善化,2023/01/02 00:00:00,WIND_DIREC,347,346,349,357,0,344,358,359,1,353,346,350,0,351,341,345,345,351,347,351,354,357,358,358,
善化,2023/01/02 00:00:00,WIND_SPEED,1.9,2.1,2,3.3,2.2,2.7,3.1,3.1,2.7,3.5,3.5,2.8,1.5,2.3,2.1,2.4,2.6,2.4,2.5,2.9,3.3,2.8,2.4,1.9,
善化,2023/01/03 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
善化,2023/01/03 00:00:00,WIND_DIREC,358,0,4,10,359,0,345,355,2,358,353,11,351,350,334,354,349,348,343,350,359,358,1,0,
善化,2023/01/03 00:00:00,WIND_SPEED,2.1,2.6,3.3,2.4,0.2,1.3,2.1,2.4,3.5,3.3,4.2,4.1,3,3.3,3,3.4,2.8,2.1,2.4,2.6,3,2.2,3.1,2.7,
善化,2023/01/04 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#,#,0,0,0,0,0,0,0,0,
善化,2023/01/04 00:00:00,WIND_DIREC,358,356,3,357,352,356,356,356,2,1,359,352,356,347,340,#,331,339,354,356,356,357,0,358,
善化,2023/01/04 00:00:00,WIND_SPEED,2.2,2.9,2.5,3,2.3,2.6,3.5,2.9,3.6,3.8,3.8,2.7,2.3,2.3,2.9,#,3.7,3.6,3.5,2.4,2.5,1.8,1.6,1.3,
善化,2023/01/05 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
善化,2023/01/05 00:00:00,WIND_DIREC,6,12,0,349,3,11,358,5,5,2,351,5,354,356,341,337,344,322,355,343,354,359,3,4,
善化,2023/01/05 00:00:00,WIND_SPEED,1.4,0.8,0.3,1.5,1.7,2,1.6,2.7,4.1,4.3,3.2,3.3,2.8,2.8,3.5,2.8,2.6,2.1,3.4,2,2.2,2.3,3,2.2,
善化,2023/01/06 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
善化,2023/01/06 00:00:00,WIND_DIREC,5,12,8,6,14,12,8,359,4,4,0,348,346,350,351,346,353,351,358,1,357,357,1,6,
善化,2023/01/06 00:00:00,WIND_SPEED,2.4,2.1,1.8,1.7,1.6,2.9,2.2,3.3,3.7,4.9,4.7,4.9,5.6,5.2,4.9,4.4,4.9,3.6,3.1,2.7,1.9,1.7,1.8,1.6,
善化,2023/01/07 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
善化,2023/01/07 00:00:00,WIND_DIREC,11,358,358,12,0,352,1,1,356,5,347,46,344,295,336,319,307,334,351,351,333,315,3,332,
善化,2023/01/07 00:00:00,WIND_SPEED,2.2,0.9,1.6,1,1.7,1.8,1.7,2.4,3,3,2.5,1.3,1.6,1.6,2.9,2.9,2,2.6,2,1.1,0.8,0.9,0.8,0.2,
善化,2023/01/08 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
善化,2023/01/08 00:00:00,WIND_DIREC,328,339,324,62,358,351,256,316,14,354,327,313,324,291,319,338,322,344,335,16,53,347,319,8,
善化,2023/01/08 00:00:00,WIND_SPEED,0.2,1.4,0.7,0.2,0.6,0.2,0.2,0.7,0.2,1.3,1.3,1.7,3,2.5,2.4,2.2,3,2,1.3,1.4,1,0.2,1.5,2,
善化,2023/01/09 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
善化,2023/01/09 00:00:00,WIND_DIREC,32,2,46,112,335,356,326,4,41,348,346,348,328,336,7,347,333,358,353,350,357,15,351,346,
善化,2023/01/09 00:00:00,WIND_SPEED,2.4,2.1,0.3,0.2,0.2,1.7,0.2,1.5,0.4,1,2.4,3,2.8,4,3.3,3.6,4,4.1,3,2.3,1.8,1.2,0.2,0.2,
善化,2023/01/10 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
善化,2023/01/10 00:00:00,WIND_DIREC,355,13,15,60,228,353,356,25,4,345,3,310,309,335,330,348,341,339,332,337,319,337,4,0,
善化,2023/01/10 00:00:00,WIND_SPEED,1.2,1.2,1.5,0.3,0.2,2.1,1.1,2,2.2,2,1.4,2.8,3.9,4,3.9,3.8,2.7,2.9,2.4,1.2,1,2.3,0.2,0.2,
善化,2023/01/11 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
善化,2023/01/11 00:00:00,WIND_DIREC,352,38,133,315,345,4,30,358,327,351,333,358,341,333,355,2,350,351,353,5,356,346,354,8,
善化,2023/01/11 00:00:00,WIND_SPEED,0.2,0.2,0.2,0.2,1.3,2.9,2.3,0.7,1.9,2.8,3.5,3,3.3,4.8,3.5,3.4,3.9,2.3,3.7,2,2,1,0.4,0.2,
善化,2023/01/12 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
善化,2023/01/12 00:00:00,WIND_DIREC,57,338,336,338,1,354,8,30,41,5,324,330,305,318,324,319,339,338,334,339,7,4,338,216,
善化,2023/01/12 00:00:00,WIND_SPEED,0.7,0.3,1.9,2.2,2.2,1.9,1.8,1.4,1.6,1.8,2.5,1.2,1.5,2.3,2.4,2.5,2.4,1.6,1.4,1.2,1.8,0.2,0.2,0.2,
善化,2023/01/13 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
善化,2023/01/13 00:00:00,WIND_DIREC,71,11,192,128,145,94,78,196,256,232,214,182,195,214,238,228,253,206,187,169,140,144,166,176,
善化,2023/01/13 00:00:00,WIND_SPEED,0.2,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.7,2.4,3.6,4,3.3,2.8,1.7,2.9,1.4,0.2,0.2,1.7,1.2,0.8,
善化,2023/01/14 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
善化,2023/01/14 00:00:00,WIND_DIREC,157,154,154,143,150,174,166,154,149,190,184,213,230,257,256,266,289,326,332,350,83,49,171,79,
善化,2023/01/14 00:00:00,WIND_SPEED,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.7,3.7,2.1,2.5,3.2,2.7,2.6,2.6,2.9,0.5,1.4,0.2,0.2,0.2,0.2,0.2,
善化,2023/01/15 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
善化,2023/01/15 00:00:00,WIND_DIREC,146,324,358,353,354,358,14,0,359,327,11,8,0,336,334,338,350,345,355,349,5,1,353,359,
善化,2023/01/15 00:00:00,WIND_SPEED,0.2,1.9,2.8,4.2,4.3,3.5,2.3,2.5,2.5,2.8,3.2,3.7,3.7,4.4,5.3,3.8,4.9,3.6,3.9,4.2,4.7,3.9,3.9,4.1,
善化,2023/01/16 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
善化,2023/01/16 00:00:00,WIND_DIREC,359,1,357,353,350,0,1,0,9,357,349,7,4,1,348,355,354,351,344,354,359,1,8,355,
善化,2023/01/16 00:00:00,WIND_SPEED,4.5,4.2,3.6,3.3,3.6,4.3,4.1,4.6,4.3,4.1,3.5,4.5,5,4.7,4.1,5,4.2,3.9,3.3,3.1,2.6,2.7,2.9,3.5,
善化,2023/01/17 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#,0,0,0,0,
善化,2023/01/17 00:00:00,WIND_DIREC,5,4,2,4,352,8,359,0,351,357,0,354,344,2,337,335,341,341,353,353,357,354,357,2,
善化,2023/01/17 00:00:00,WIND_SPEED,4,3.8,3.5,3.1,2.9,2.8,2,2.2,2.7,3.1,3.6,3.6,3.1,3.5,4.4,5.6,4.7,4.4,3.3,3.8,3.3,2.6,3.2,3.8,
