測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Unnamed: 27
大同,2023/01/01 00:00:00,RAINFALL,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
大同,2023/01/01 00:00:00,WIND_DIREC,4,18,18,1,6,336,4,13,342,333,2,351,342,359,355,10,331,319,354,13,310,327,354,9,
大同,2023/01/01 00:00:00,WIND_SPEED,0.8,0.8,0.8,0.6,0.8,0.9,0.7,0.8,0.7,0.8,0.9,1,1.1,1.3,1.1,0.9,0.6,0.5,0.8,0.8,0.6,0.6,0.7,0.6,
大同,2023/01/02 00:00:00,RAINFALL,0,0,0,0.5,0,0.5,0,0,0.5,0.5,0,0,#,0,0,0,0,0,0,0,0,0,0,0,
大同,2023/01/02 00:00:00,WIND_DIREC,276,318,344,352,2,287,26,33,0,359,20,351,14,10,1,349,359,14,0,14,343,357,263,10,
大同,2023/01/02 00:00:00,WIND_SPEED,0.5,0.7,0.6,0.4,0.3,0.2,0.7,0.5,0.5,0.5,0.7,0.8,0.9,1.1,0.7,0.7,1,0.8,0.7,0.6,0.7,0.6,0.5,0.8,
大同,2023/01/03 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
大同,2023/01/03 00:00:00,WIND_DIREC,26,359,36,18,10,236,18,337,356,321,350,0,9,319,350,359,15,353,27,13,349,11,0,14,
大同,2023/01/03 00:00:00,WIND_SPEED,0.9,0.4,0.7,0.4,0.3,0.4,0.7,0.6,0.5,0.7,0.6,0.9,1,0.9,0.8,0.9,0.9,0.8,1.1,0.9,0.7,0.7,0.8,0.8,
大同,2023/01/04 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
大同,2023/01/04 00:00:00,WIND_DIREC,36,28,11,19,32,341,17,37,4,354,281,12,326,13,343,26,11,322,353,2,21,359,359,353,
大同,2023/01/04 00:00:00,WIND_SPEED,0.8,0.7,0.8,0.9,0.8,0.6,0.8,0.8,0.9,0.9,0.6,1,0.6,1.1,0.8,0.8,0.7,0.7,0.7,0.9,0.7,0.5,0.5,0.6,
大同,2023/01/05 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,
大同,2023/01/05 00:00:00,WIND_DIREC,352,342,245,220,251,35,41,52,233,53,29,17,349,21,24,30,9,35,49,29,33,23,341,25,
大同,2023/01/05 00:00:00,WIND_SPEED,0.8,0.4,0.1,0.1,0.1,0.2,0.5,0.6,0.3,0.7,0.7,0.7,0.6,0.7,0.5,0.7,0.7,0.7,0.5,0.3,0.5,0.5,0.5,0.6,
大同,2023/01/06 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
大同,2023/01/06 00:00:00,WIND_DIREC,21,12,31,130,154,26,193,227,59,232,235,232,226,108,35,345,355,23,21,352,34,32,330,41,
大同,2023/01/06 00:00:00,WIND_SPEED,0.6,0.3,0.5,0.1,0.1,0.2,0.1,0.4,0.3,0.6,0.4,0.5,0.4,0.4,0.5,0.6,0.6,0.7,0.6,0.5,0.8,0.7,0.4,0.5,
大同,2023/01/07 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
大同,2023/01/07 00:00:00,WIND_DIREC,16,15,260,3,354,303,355,6,350,0,27,9,316,348,335,4,286,319,17,298,39,12,325,12,
大同,2023/01/07 00:00:00,WIND_SPEED,0.5,0.4,0.5,1,0.8,0.7,0.8,0.8,0.9,1.3,1.1,1.5,1.1,1.3,1.1,0.9,1,0.8,1,0.6,1,0.8,0.7,0.8,
大同,2023/01/08 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
大同,2023/01/08 00:00:00,WIND_DIREC,329,265,7,5,323,328,349,280,352,10,34,337,356,18,29,7,313,356,18,355,345,40,312,15,
大同,2023/01/08 00:00:00,WIND_SPEED,0.6,0.5,0.6,0.8,0.6,0.6,0.6,0.6,0.7,1,1,0.7,0.8,0.8,0.8,0.7,0.5,0.6,0.8,0.5,0.5,0.4,0.2,0.3,
大同,2023/01/09 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.5,
大同,2023/01/09 00:00:00,WIND_DIREC,27,128,92,32,2,20,219,216,163,122,211,58,209,221,196,189,195,185,354,41,296,19,266,52,
