測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Unnamed: 27
崙背,2023/01/01 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
崙背,2023/01/01 00:00:00,WIND_DIREC,20,6,62,49,307,358,331,46,28,354,15,12,351,336,336,3,327,337,344,335,347,5,355,4,
崙背,2023/01/01 00:00:00,WIND_SPEED,1,1.2,1.7,0.6,0.9,0.6,0.8,0.8,1.2,1.6,1.5,1.9,1.6,1.7,2,2,1.9,2,1.8,2.1,2.1,1.8,1.6,1.8,
崙背,2023/01/02 00:00:00,RAINFALL,0,0,0,0.5,0,1,1,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,
崙背,2023/01/02 00:00:00,WIND_DIREC,344,341,14,9,340,349,336,338,12,347,332,8,354,347,354,357,352,350,352,356,11,12,11,7,
崙背,2023/01/02 00:00:00,WIND_SPEED,1.1,1.5,1.9,1.7,1.4,1.6,1.6,1.6,1.5,1.5,1.8,2.2,2.2,1.7,2,2.2,2.1,2.1,2.5,1.8,1.8,2.5,2,1.7,
崙背,2023/01/03 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
崙背,2023/01/03 00:00:00,WIND_DIREC,1,15,29,2,17,4,1,17,350,354,329,356,334,347,359,352,354,1,0,359,11,14,2,4,
崙背,2023/01/03 00:00:00,WIND_SPEED,1.8,1.7,2.2,1.7,1.8,1.7,1.5,2.1,2.4,2.7,2.3,1.9,2.1,2.3,2.2,2.3,1.9,2.1,2.4,2.2,2.2,1.7,1.8,1.5,
崙背,2023/01/04 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
崙背,2023/01/04 00:00:00,WIND_DIREC,16,15,7,14,31,10,13,5,22,18,61,22,333,340,338,2,337,332,346,354,4,352,4,1,
崙背,2023/01/04 00:00:00,WIND_SPEED,1.6,1.6,2.1,2.1,2,1.7,1.9,1.8,1.7,1.7,2.4,1.5,2.3,2.3,2.4,1.8,2.1,2,1.9,1.4,1.7,1.2,1.2,1,
崙背,2023/01/05 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
崙背,2023/01/05 00:00:00,WIND_DIREC,34,12,11,10,31,20,5,7,4,13,350,351,359,349,341,352,347,354,349,343,338,344,326,335,
崙背,2023/01/05 00:00:00,WIND_SPEED,0.9,1,1.1,1,1.8,1.7,1.6,2.5,2.3,2.3,2.1,2.9,2.6,2.9,2.7,2.3,2.5,2,2.1,1.8,1.8,1.4,1.6,1.6,
崙背,2023/01/06 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,#,#,0,0,0,0,0,0,0,0,0,0,
崙背,2023/01/06 00:00:00,WIND_DIREC,340,5,6,4,345,2,356,348,1,346,348,330,349,356,358,350,5,9,2,359,7,24,22,7,
崙背,2023/01/06 00:00:00,WIND_SPEED,1.7,1.4,1.3,1.4,1.8,2,2,2.3,2.7,2.6,3.3,2.7,3.5,3.2,3.1,3.2,2.6,2.2,1.8,1.7,1.8,1.5,1.1,0.6,
崙背,2023/01/07 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
崙背,2023/01/07 00:00:00,WIND_DIREC,19,4,12,14,17,15,11,8,358,19,343,35,327,314,318,339,345,342,7,337,341,354,359,324,
崙背,2023/01/07 00:00:00,WIND_SPEED,0.8,1.2,1.6,1.7,1.9,1.7,1.4,1.5,1.9,1.8,1.8,1.8,2.3,2,2.2,2,2,1.8,1.4,1.7,1.9,1.1,0.7,0.6,
崙背,2023/01/08 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
