測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Unnamed: 27
斗六,2023/01/01 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
斗六,2023/01/01 00:00:00,WIND_DIREC,329,335,278,108,330,326,73,77,35,307,291,340,21,300,328,328,339,338,6,354,330,341,357,329,
斗六,2023/01/01 00:00:00,WIND_SPEED,0.6,0.8,0.3,1.1,0.9,1.6,0.6,0.4,0.4,0.6,1,1.2,1.3,0.8,2.1,2.7,2.4,1.5,1.5,2,1.2,1.1,0.8,0.9,
斗六,2023/01/02 00:00:00,RAINFALL,0,0,0,0,1,0.5,1.5,1,2,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,
斗六,2023/01/02 00:00:00,WIND_DIREC,343,313,333,356,16,338,336,7,14,334,352,330,350,331,337,328,334,333,342,331,347,353,344,335,
斗六,2023/01/02 00:00:00,WIND_SPEED,1.2,0.7,1,0.9,1.3,1.7,1.7,1.4,2.4,0.9,2,1.6,1.4,2.3,2.2,1.7,1.3,2.3,1.4,1.6,1.5,2,1.4,1.7,
斗六,2023/01/03 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,#,#,0,0,0,0,0,0,0,0,0,0,0,0,
斗六,2023/01/03 00:00:00,WIND_DIREC,349,336,345,0,357,353,356,349,357,338,87,107,305,320,333,330,325,337,343,339,328,337,342,331,
斗六,2023/01/03 00:00:00,WIND_SPEED,1.7,1.9,2.2,1.6,2.3,1.2,1.6,2.1,2.1,2.3,2.2,1.1,1.7,1.7,2.9,2.1,2.3,2.2,1.8,1.8,1.4,1.8,1.3,0.6,
斗六,2023/01/04 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
斗六,2023/01/04 00:00:00,WIND_DIREC,333,351,341,0,335,345,337,0,351,21,56,321,325,310,330,333,324,316,350,309,343,12,9,335,
斗六,2023/01/04 00:00:00,WIND_SPEED,2.2,1.2,0.9,1.7,2,1.1,1.4,0.8,1,1,0.7,1,2,1.4,2.7,2.3,2.3,1.5,0.6,0.9,0.8,1.1,0.5,0.2,
斗六,2023/01/05 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
斗六,2023/01/05 00:00:00,WIND_DIREC,38,341,29,5,70,61,21,29,15,25,350,344,329,331,336,331,330,343,343,350,341,344,332,90,
斗六,2023/01/05 00:00:00,WIND_SPEED,0.2,0.2,0.6,0.5,1.1,0.5,1.5,1.3,1.5,2.3,2.5,2.1,3.2,2.8,3.1,3.2,3.3,2,1.1,1,0.8,0.5,0.2,0.3,
斗六,2023/01/06 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
斗六,2023/01/06 00:00:00,WIND_DIREC,345,87,142,52,20,41,328,10,24,345,340,336,333,332,328,329,338,341,355,331,340,349,58,342,
