測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Unnamed: 27
新莊,2023/01/01 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
新莊,2023/01/01 00:00:00,WIND_DIREC,59,68,55,59,61,72,63,69,55,66,87,82,88,59,72,69,61,62,58,58,57,63,50,57,
新莊,2023/01/01 00:00:00,WIND_SPEED,2.8,3.2,3.3,3.2,3.9,3.3,3.5,3.7,3.7,4.3,4.5,4.4,4.6,6.5,3.6,3.9,3.4,3,3.9,4.3,5.1,3.4,4.3,4.1,
新莊,2023/01/02 00:00:00,RAINFALL,0,0,0,0.5,0,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
新莊,2023/01/02 00:00:00,WIND_DIREC,55,47,53,55,50,43,64,51,35,70,60,62,61,67,53,63,68,65,65,85,80,91,91,82,
新莊,2023/01/02 00:00:00,WIND_SPEED,3.5,4,4.2,3.1,2.7,2.7,2.7,2.7,3.2,3.3,3.2,3.8,5,4.9,5.1,4.8,5.4,3.2,3.9,2.4,3,2.9,3,3.3,
新莊,2023/01/03 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
新莊,2023/01/03 00:00:00,WIND_DIREC,81,94,98,132,39,53,96,91,76,96,91,94,77,85,88,84,92,93,88,92,93,91,92,92,
新莊,2023/01/03 00:00:00,WIND_SPEED,2.9,2.6,1.4,0.3,1.2,2.1,2.9,3.9,2.6,4.2,4,4.3,3.8,3.8,3.8,3.4,4.6,3.9,4.6,3.9,3.5,3.9,4.1,3.6,
新莊,2023/01/04 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
新莊,2023/01/04 00:00:00,WIND_DIREC,94,94,88,90,93,86,90,88,71,70,71,64,63,70,85,76,74,85,73,54,49,59,65,51,
新莊,2023/01/04 00:00:00,WIND_SPEED,4,3.7,3.4,3.8,3.2,2.9,3.2,3.6,4,4.5,3.6,5.5,5.2,3.9,5.1,3.5,4.3,3.7,4.1,4.1,4.4,2.9,2.6,2.9,
新莊,2023/01/05 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
新莊,2023/01/05 00:00:00,WIND_DIREC,54,43,26,53,19,18,170,171,152,99,99,96,70,16,12,7,10,7,59,78,69,69,90,89,
新莊,2023/01/05 00:00:00,WIND_SPEED,3,2.2,2.8,1.1,2,1.8,1.1,0.4,0.4,1.4,1.4,3.7,3.1,2.5,4.7,4.9,3.9,2.9,1.7,0.8,0.2,2.2,3.1,1.9,
新莊,2023/01/06 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#,0,0,0,0,0,0,0,0,0,
新莊,2023/01/06 00:00:00,WIND_DIREC,85,209,260,243,258,26,11,11,10,13,25,19,9,10,20,25,148,62,82,86,95,86,90,88,
新莊,2023/01/06 00:00:00,WIND_SPEED,0.8,0.3,0.7,0.6,0.9,1.6,2.9,3.5,3.7,2.3,3.6,4.1,6.9,6.5,6.2,3.3,1.1,1,2,1.9,1.7,2.1,2,1.6,
新莊,2023/01/07 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
新莊,2023/01/07 00:00:00,WIND_DIREC,80,72,83,81,78,78,80,85,67,74,78,73,70,68,65,82,75,75,81,87,73,70,53,60,
新莊,2023/01/07 00:00:00,WIND_SPEED,1.7,1.8,2.5,2.8,3,3.3,2.8,3.3,3.7,6.2,6,7.3,5.2,5.9,5.5,5.5,5.6,3.4,3.6,4.1,4.5,3.2,4.6,4.6,
新莊,2023/01/08 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
新莊,2023/01/08 00:00:00,WIND_DIREC,60,53,50,53,52,56,53,55,58,67,63,81,84,63,91,63,76,60,55,29,36,22,39,29,
新莊,2023/01/08 00:00:00,WIND_SPEED,4.4,4.7,4.7,4,4.4,3.9,3.7,3.5,4.1,3.9,4.3,3.4,3.1,3.9,2.5,3.7,3.2,2.6,2.9,3.4,2.5,2.5,1.4,0.7,
新莊,2023/01/09 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0.5,
