測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Unnamed: 27
松山,2023/01/01 00:00:00,RAINFALL,0.5,0.5,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,
松山,2023/01/01 00:00:00,WIND_DIREC,61,62,50,48,53,56,56,55,58,50,51,65,52,40,55,46,40,57,43,54,43,51,53,58,
松山,2023/01/01 00:00:00,WIND_SPEED,1.2,0.7,0.9,2,1.5,2.2,1.4,2,2,1.6,1.4,2.1,2.4,2,2.1,2.1,2.2,2,1.4,0.9,1.9,1.6,1.5,1.5,
松山,2023/01/02 00:00:00,RAINFALL,0,0,0,0.5,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0.5,0,
松山,2023/01/02 00:00:00,WIND_DIREC,50,46,54,78,66,63,65,60,56,42,49,56,41,40,51,39,57,51,56,56,59,51,61,45,
松山,2023/01/02 00:00:00,WIND_SPEED,0.6,1.6,1.3,0.5,0.6,1.2,0.4,0.4,0.6,1.4,1.8,1.6,2,2.5,2.5,2.5,2.7,2.2,2.3,2.9,2.8,2.1,1.6,1.3,
松山,2023/01/03 00:00:00,RAINFALL,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,#,0,0,0,0,0,0,0,0.5,0,0,
松山,2023/01/03 00:00:00,WIND_DIREC,69,57,64,59,348,52,51,56,45,35,37,55,47,51,57,44,59,55,72,75,60,53,79,55,
松山,2023/01/03 00:00:00,WIND_SPEED,1.8,1.7,1.5,0.9,0.7,1.2,1.2,1.8,1.7,1.9,3,2.3,2.6,2.3,2.1,1.5,1.9,1.7,1.4,2,1.5,2.2,1.3,1.2,
松山,2023/01/04 00:00:00,RAINFALL,0.5,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
松山,2023/01/04 00:00:00,WIND_DIREC,51,61,60,47,60,70,72,59,58,56,60,44,52,59,65,59,67,62,51,54,59,69,80,70,
松山,2023/01/04 00:00:00,WIND_SPEED,2,1.2,1.7,1.2,0.8,1.1,0.8,0.9,1.4,1.6,1.3,1.2,2.1,1.8,1.9,1.9,1.9,1.7,1.6,1.8,1,1,0.4,0.4,
松山,2023/01/05 00:00:00,RAINFALL,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,
松山,2023/01/05 00:00:00,WIND_DIREC,57,278,78,48,279,194,224,239,357,41,47,45,55,53,58,47,56,40,45,355,34,53,52,40,
松山,2023/01/05 00:00:00,WIND_SPEED,1.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.9,1.8,1.1,1.7,1,1.5,2.2,1.1,0.3,0.4,0.3,0.3,0.5,1,0.3,
松山,2023/01/06 00:00:00,RAINFALL,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
松山,2023/01/06 00:00:00,WIND_DIREC,81,43,33,59,20,105,257,359,308,65,327,65,63,55,55,28,51,62,57,34,25,35,21,26,
松山,2023/01/06 00:00:00,WIND_SPEED,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.7,0.3,1.2,1.1,1.7,2.3,1.2,0.9,1.1,0.8,0.6,0.3,0.4,0.3,0.4,
松山,2023/01/07 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
松山,2023/01/07 00:00:00,WIND_DIREC,57,48,54,62,61,47,68,69,47,46,64,60,51,48,46,64,66,61,55,61,61,50,56,50,
松山,2023/01/07 00:00:00,WIND_SPEED,0.5,0.6,0.9,1.3,1.1,0.5,0.8,1.7,1.8,3.1,2.6,2.3,2.9,3.7,2.5,1.9,1.9,2,1.8,1.7,1.9,1.4,1.9,2.1,
松山,2023/01/08 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
松山,2023/01/08 00:00:00,WIND_DIREC,60,59,53,58,60,51,65,63,50,57,42,44,55,57,61,59,46,61,44,52,39,51,49,52,
松山,2023/01/08 00:00:00,WIND_SPEED,1.4,2.3,1.8,1.4,1.4,2,1.4,1.5,1.8,2,1.2,2.3,2.1,2.2,1.3,2.4,2.9,3.4,1.7,1.9,0.5,0.8,1.2,0.4,
松山,2023/01/09 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.5,1,
松山,2023/01/09 00:00:00,WIND_DIREC,35,221,68,77,57,235,64,271,241,304,215,326,302,301,306,310,26,44,59,48,47,64,36,55,
松山,2023/01/09 00:00:00,WIND_SPEED,0.4,0.3,0.3,0.9,0.6,0.3,0.4,0.3,0.3,1.4,0.8,0.6,0.9,1.5,3.4,0.5,1.2,1.3,1,1.4,1.8,1.5,1.2,0.4,
松山,2023/01/10 00:00:00,RAINFALL,0.5,0.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
松山,2023/01/10 00:00:00,WIND_DIREC,60,62,56,51,49,49,62,56,49,45,57,43,52,53,38,51,56,45,60,44,47,47,54,46,
松山,2023/01/10 00:00:00,WIND_SPEED,1.3,1,1.4,1.2,2.3,1.4,1.3,1.3,1.6,2.9,2.1,3,2.9,2.6,3.1,2.6,1.7,1.9,1.5,1.8,1.2,1.8,2.2,1.5,
松山,2023/01/11 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
松山,2023/01/11 00:00:00,WIND_DIREC,58,63,51,57,72,55,59,56,44,56,34,63,60,52,49,50,49,52,49,53,51,59,64,46,
松山,2023/01/11 00:00:00,WIND_SPEED,1.3,1.2,1.1,1,0.7,1,0.8,0.7,1.5,2,2.9,2.5,2.7,3.5,2.7,2.9,2.4,1.5,0.9,1.1,1.1,1.5,1.4,2,
松山,2023/01/12 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
松山,2023/01/12 00:00:00,WIND_DIREC,28,349,61,176,241,225,235,247,205,300,234,345,299,304,309,290,42,70,29,308,21,50,41,71,
松山,2023/01/12 00:00:00,WIND_SPEED,1.5,1,0.8,0.3,0.3,0.3,0.4,0.5,1.1,0.9,0.9,0.7,2.8,2.7,2,0.3,0.3,0.7,0.3,1.9,0.3,0.9,0.4,0.8,
松山,2023/01/13 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
松山,2023/01/13 00:00:00,WIND_DIREC,281,308,308,322,317,17,274,211,217,208,308,231,6,296,217,236,59,52,56,52,36,63,39,232,
松山,2023/01/13 00:00:00,WIND_SPEED,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.6,0.7,0.5,0.3,0.3,1,0.9,0.6,0.5,1.5,0.8,1.4,0.4,0.6,0.8,0.3,0.5,
松山,2023/01/14 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,11.5,
松山,2023/01/14 00:00:00,WIND_DIREC,227,76,54,50,62,35,99,184,244,195,228,264,305,305,295,301,294,250,306,306,66,85,71,55,
松山,2023/01/14 00:00:00,WIND_SPEED,0.3,0.5,0.3,0.3,0.3,0.3,0.3,0.8,0.5,0.7,1,1.7,2.3,2.8,2.1,2,1.2,0.5,1.5,0.3,1.2,0.9,1.1,3.1,
松山,2023/01/15 00:00:00,RAINFALL,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
松山,2023/01/15 00:00:00,WIND_DIREC,54,50,50,58,57,43,49,43,49,46,54,34,43,51,44,52,39,38,46,49,40,51,64,53,
松山,2023/01/15 00:00:00,WIND_SPEED,2.6,2.8,2.8,2.6,2.8,2.4,2.2,2.4,2.5,2.3,2.7,3.2,3.2,3.1,3.4,3,2.8,2.2,2.8,3,2.4,2.7,1.7,2.2,
松山,2023/01/16 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
松山,2023/01/16 00:00:00,WIND_DIREC,49,47,59,59,50,54,52,45,46,47,47,44,43,40,33,45,44,61,65,54,65,88,50,64,
松山,2023/01/16 00:00:00,WIND_SPEED,1.8,1.6,1.5,2,2,1.7,1.9,2.1,2.2,1.9,2.3,2.1,2.4,1.9,1.9,1.6,1.8,1.8,2.1,0.8,1.3,1.2,0.9,1.3,
松山,2023/01/17 00:00:00,RAINFALL,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,#,0,0,0,0,0,0,0,0,0,
松山,2023/01/17 00:00:00,WIND_DIREC,18,37,53,57,76,60,43,64,62,46,57,64,54,48,59,65,56,57,50,31,45,48,58,56,
松山,2023/01/17 00:00:00,WIND_SPEED,0.5,0.3,0.6,0.7,0.6,0.6,0.4,1,0.7,1.3,1.5,1.5,1.3,1.6,2.1,1.8,2.2,1.6,1.5,0.4,1,1.1,0.8,0.3,
松山,2023/01/18 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#,0,0,0,0,
松山,2023/01/18 00:00:00,WIND_DIREC,69,57,52,76,58,53,54,53,41,53,35,53,60,50,58,60,57,53,45,61,51,66,60,61,
松山,2023/01/18 00:00:00,WIND_SPEED,0.7,1.3,0.7,1.2,1.3,1.7,1.7,1.3,1.7,1.2,1.4,2.3,1.8,2.4,2,1.2,1.6,1.4,1.3,1.8,0.8,1.3,1.6,1.8,
松山,2023/01/19 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
松山,2023/01/19 00:00:00,WIND_DIREC,65,54,56,52,56,37,59,56,61,43,56,56,45,56,41,53,52,56,55,60,51,52,67,58,
松山,2023/01/19 00:00:00,WIND_SPEED,1.8,1.7,1.2,0.6,1,0.3,1.5,1.6,2.4,2.8,3,2.9,3.7,2.6,3,2.9,2.5,1.8,1.5,1.4,1.2,1.2,1.7,1.6,
松山,2023/01/20 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
松山,2023/01/20 00:00:00,WIND_DIREC,58,45,48,56,53,48,52,56,49,58,54,61,53,72,64,65,59,61,54,72,58,56,59,59,
松山,2023/01/20 00:00:00,WIND_SPEED,1.6,1.3,2.6,2.5,2.5,2.2,2.1,2.5,1.8,1.7,1.6,2,1.8,2.6,2.4,2.4,1.7,2,2.2,1.3,1.4,2.4,1.9,2,
松山,2023/01/21 00:00:00,RAINFALL,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,
松山,2023/01/21 00:00:00,WIND_DIREC,62,66,46,64,72,63,59,42,73,54,63,38,44,50,48,50,47,45,65,44,39,53,123,232,
松山,2023/01/21 00:00:00,WIND_SPEED,1.7,2,1.7,1.6,1.4,2,1.4,0.4,1,1,1.7,0.7,1.8,2,2.6,2.7,2.2,1.6,1.3,1,0.9,1.6,0.5,0.5,
松山,2023/01/22 00:00:00,RAINFALL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
松山,2023/01/22 00:00:00,WIND_DIREC,#,,215,246,229,245,292,297,305,305,275,308,297,296,296,41,309,19,65,41,47,49,48,45,
松山,2023/01/22 00:00:00,WIND_SPEED,#,,0.8,0.7,0.5,0.7,0.9,1,2.4,0.8,0.8,0.8,1.4,1,1.3,0.5,2,1.1,1.4,1.2,0.9,0.9,0.6,0.3,
松山,2023/01/23 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
松山,2023/01/23 00:00:00,WIND_DIREC,9,246,352,286,36,49,67,52,69,60,50,48,46,49,65,52,57,47,62,50,76,60,63,349,
松山,2023/01/23 00:00:00,WIND_SPEED,0.3,0.4,0.3,0.3,0.3,0.7,1,0.7,1.7,1.6,1.9,1.3,2,1.9,1.8,1.5,1.4,1.5,1.3,1.1,0.5,0.4,0.4,0.8,
松山,2023/01/24 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
松山,2023/01/24 00:00:00,WIND_DIREC,16,304,29,16,60,60,57,21,182,280,70,43,51,54,42,40,45,48,33,39,47,40,41,52,
松山,2023/01/24 00:00:00,WIND_SPEED,1.1,1.3,2.4,1.1,1.5,1.4,1.1,1.2,0.6,1.8,1.8,1.9,1.6,1,2.9,4.2,3.2,3.1,3.3,3.1,2.5,3.1,2.8,2.2,
松山,2023/01/25 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
松山,2023/01/25 00:00:00,WIND_DIREC,48,52,72,38,7,34,49,64,55,68,54,56,40,45,56,59,58,63,44,61,59,58,54,56,
松山,2023/01/25 00:00:00,WIND_SPEED,2.2,0.6,0.9,0.9,0.7,0.8,1.2,1.5,0.8,1.6,2.2,2.4,2.4,2.5,3.1,2.6,2.2,2.4,1.1,1.9,1.6,1.1,1.2,1,
松山,2023/01/26 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
松山,2023/01/26 00:00:00,WIND_DIREC,56,29,52,20,217,192,312,79,216,226,206,293,250,302,251,294,301,302,300,264,208,188,45,51,
松山,2023/01/26 00:00:00,WIND_SPEED,0.6,0.3,0.2,0.2,0.2,1.5,0.3,0.3,0.7,1.3,1.2,1.9,2.6,3.8,1.7,2.5,1.7,2.1,1.2,0.5,0.4,1.2,0.3,0.3,
松山,2023/01/27 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
松山,2023/01/27 00:00:00,WIND_DIREC,262,200,213,201,221,62,54,59,55,34,51,52,63,43,37,55,47,39,45,48,44,37,42,35,
松山,2023/01/27 00:00:00,WIND_SPEED,0.3,0.3,0.3,0.3,0.3,0.3,1.6,1.8,1.3,1.7,2.1,2.2,2,1.7,3.9,4.3,3.6,3.5,3.4,2.8,2.3,2.3,2.5,2.9,
松山,2023/01/28 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
松山,2023/01/28 00:00:00,WIND_DIREC,41,54,30,42,38,56,321,32,32,24,42,36,44,36,39,44,50,36,51,54,27,46,47,60,
松山,2023/01/28 00:00:00,WIND_SPEED,2.2,2.3,2.8,2.1,1.2,1.9,0.5,1.9,1.9,2.3,3.5,2.2,2,1.9,2.5,1.6,1.5,0.3,0.2,0.7,0.6,1,1.1,1.4,
松山,2023/01/29 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
松山,2023/01/29 00:00:00,WIND_DIREC,63,339,69,20,67,62,19,27,47,51,57,42,43,43,65,46,47,50,52,34,58,38,55,47,
松山,2023/01/29 00:00:00,WIND_SPEED,1.6,0.5,0.8,0.7,1.1,1.6,0.4,0.6,1.1,2.8,3.4,3.6,3.8,3.2,3.1,3.1,3.2,1.9,1.2,0.2,0.3,0.3,0.9,0.3,
松山,2023/01/30 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
松山,2023/01/30 00:00:00,WIND_DIREC,66,39,24,35,39,50,57,61,57,43,45,44,51,44,39,44,52,56,50,46,50,62,52,45,
松山,2023/01/30 00:00:00,WIND_SPEED,0.8,0.7,0.4,0.7,0.4,0.4,1.1,1.5,2.1,3.3,3.4,3.3,4,4.2,3.7,3.2,3.6,2.3,1.8,2.3,1.6,1.1,1.2,1,
松山,2023/01/31 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
松山,2023/01/31 00:00:00,WIND_DIREC,52,56,65,84,80,39,50,73,197,169,309,297,62,47,54,252,241,291,309,273,101,57,81,79,
松山,2023/01/31 00:00:00,WIND_SPEED,1.1,1,0.7,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.7,1.7,1.5,2,1.6,1.1,1,1.4,0.3,0.3,0.7,0.3,0.2,
松山,2023/02/01 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
松山,2023/02/01 00:00:00,WIND_DIREC,74,62,73,70,77,37,59,283,321,306,12,318,247,252,173,6,65,65,59,66,52,50,91,311,
松山,2023/02/01 00:00:00,WIND_SPEED,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,1.3,0.6,0.6,0.3,0.4,0.5,0.6,0.3,0.9,0.3,0.3,0.3,0.6,
松山,2023/02/02 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#,0,0,0,0,0,0,0,0,0,
松山,2023/02/02 00:00:00,WIND_DIREC,93,58,57,55,52,61,53,48,46,48,39,53,63,37,43,45,48,38,56,48,61,43,47,59,
松山,2023/02/02 00:00:00,WIND_SPEED,0.3,1.2,2,1.6,1,1.2,1.9,0.8,1.2,1.5,1.5,2.9,2.9,2.4,2.4,1.7,1.7,1.7,1.7,2.3,1.4,1.3,1.4,1.3,
松山,2023/02/03 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
松山,2023/02/03 00:00:00,WIND_DIREC,61,66,58,56,71,68,55,67,48,59,58,41,36,40,53,54,42,59,55,52,46,63,57,63,
松山,2023/02/03 00:00:00,WIND_SPEED,1.4,1.6,1.6,1.2,0.8,1,1.3,1.4,1.4,2.3,2.2,2.9,2.7,2.4,2.4,2.7,2,1.9,1.8,1.8,2.2,2.5,2,1.8,
松山,2023/02/04 00:00:00,RAINFALL,0,#,#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
松山,2023/02/04 00:00:00,WIND_DIREC,57,#,#,60,58,68,42,53,56,53,59,34,58,55,47,43,53,54,39,45,55,69,64,56,
松山,2023/02/04 00:00:00,WIND_SPEED,2.1,#,#,1.4,1.1,1.5,2.2,1.7,1.2,2,1.7,1.9,1.8,1.8,1.9,1.3,1.4,1.5,2.2,1.6,2,1.7,1.4,1.3,
松山,2023/02/05 00:00:00,RAINFALL,0.5,0.5,0.5,0.5,0.5,0,1.5,3.5,2.5,0.5,0.5,0.5,0,0,0,0,0,0,1,0,1,1,1,0.5,
松山,2023/02/05 00:00:00,WIND_DIREC,61,42,59,59,59,52,310,40,58,273,302,318,18,46,44,35,352,250,207,224,221,314,238,232,
松山,2023/02/05 00:00:00,WIND_SPEED,1.9,1.4,1.1,1,0.6,0.4,0.3,0.2,0.7,0.3,0.5,0.3,0.3,2,0.8,0.4,0.3,1.2,0.6,0.6,0.8,0.3,0.6,0.4,
松山,2023/02/06 00:00:00,RAINFALL,0.5,0,4,2.5,3.5,0,1.5,1.5,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
松山,2023/02/06 00:00:00,WIND_DIREC,244,217,218,196,317,292,228,47,294,263,310,213,273,45,32,354,321,32,47,38,59,65,40,63,
松山,2023/02/06 00:00:00,WIND_SPEED,0.8,1.1,0.4,1.4,0.4,1.3,0.3,0.6,0.7,0.8,0.3,0.6,0.3,0.3,0.6,0.3,0.4,0.9,0.7,0.4,1.1,0.8,0.5,0.3,
松山,2023/02/07 00:00:00,RAINFALL,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,#,0,0,0,0,0,0,0,0,0,
松山,2023/02/07 00:00:00,WIND_DIREC,82,331,#,313,305,320,22,349,305,297,325,45,40,#,59,53,42,46,58,60,54,57,57,57,
松山,2023/02/07 00:00:00,WIND_SPEED,0.5,0.3,#,0.3,0.7,0.3,0.3,0.3,1,1.1,1,2,2.5,#,1.9,1.8,1.6,2.1,2,1.6,0.9,1,1.4,1.5,
松山,2023/02/08 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
松山,2023/02/08 00:00:00,WIND_DIREC,57,70,59,51,53,65,63,60,61,64,55,41,50,49,47,45,52,59,56,69,42,57,25,59,
松山,2023/02/08 00:00:00,WIND_SPEED,1.9,1.6,1.8,1.7,1.1,1.4,1.6,1.6,1.8,2.5,2.4,2.7,3,2.8,2.2,2.3,2,1.7,2,1.6,1.1,0.8,0.3,0.7,
松山,2023/02/09 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
松山,2023/02/09 00:00:00,WIND_DIREC,312,211,251,216,225,256,233,192,295,298,335,237,297,300,313,291,230,301,303,298,308,14,15,254,
松山,2023/02/09 00:00:00,WIND_SPEED,0.3,0.6,0.5,0.3,0.5,0.7,0.4,1.1,1.2,0.8,1.6,2,2.5,3.7,1.8,1.8,0.4,0.8,0.8,0.3,0.3,0.3,0.3,0.3,
