測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Unnamed: 27
西屯,2023/01/01 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
西屯,2023/01/01 00:00:00,WIND_DIREC,19,1,48,16,329,25,44,35,46,30,10,2,30,339,349,1,356,11,309,9,342,20,0,11,
西屯,2023/01/01 00:00:00,WIND_SPEED,0.3,0.5,0.9,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,2.1,1.5,0.7,1.5,3.3,1.1,1.3,0.3,2,0.7,2.1,1.6,0.6,
西屯,2023/01/02 00:00:00,RAINFALL,0,0,0,1.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,
西屯,2023/01/02 00:00:00,WIND_DIREC,33,0,41,33,15,324,20,75,24,2,15,352,0,0,8,16,356,3,10,16,5,10,0,3,
西屯,2023/01/02 00:00:00,WIND_SPEED,0.9,1.6,2.1,0.4,1.2,0.6,1.4,0.3,2,2.1,2.7,3.5,3.5,3.1,3.2,4.4,4.2,3.4,4.5,5.1,4.4,3.6,3.7,3,
西屯,2023/01/03 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
西屯,2023/01/03 00:00:00,WIND_DIREC,11,14,21,14,21,0,354,17,20,14,13,2,12,15,10,11,9,0,13,5,9,15,10,356,
西屯,2023/01/03 00:00:00,WIND_SPEED,3.9,4.6,4.5,5.1,5,3.6,5.3,5.5,4.9,4.4,3.8,3.9,3.5,4.3,4.8,5.3,5.1,4.2,4.2,3.8,4.3,4.1,2.8,3.9,
西屯,2023/01/04 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
西屯,2023/01/04 00:00:00,WIND_DIREC,13,15,5,15,15,16,2,6,30,20,359,12,351,359,21,339,347,346,#,357,6,24,16,18,
西屯,2023/01/04 00:00:00,WIND_SPEED,3.7,3.7,3.6,3.8,4.6,4.2,2.7,3.5,3.5,3.2,2.3,2.1,2.7,3.3,2.6,2.5,2.8,1.6,#,3.2,2,2.8,2.4,2,
西屯,2023/01/05 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,#,#,0,0,0,0,0,0,0,0,0,0,0,0,
西屯,2023/01/05 00:00:00,WIND_DIREC,18,20,15,19,19,13,13,15,7,6,355,354,6,7,3,7,11,12,21,15,12,14,13,7,
西屯,2023/01/05 00:00:00,WIND_SPEED,2.6,3.4,2.4,2.2,4.2,3.8,3.7,3.5,4.1,4.5,5.5,5.3,5.7,5.3,5.5,5.7,5.9,4.8,5.1,3.7,3.1,3.4,2.8,2.8,
西屯,2023/01/06 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
西屯,2023/01/06 00:00:00,WIND_DIREC,7,8,22,13,24,16,11,10,5,0,5,356,14,7,19,12,17,11,7,6,10,16,14,17,
西屯,2023/01/06 00:00:00,WIND_SPEED,2.4,3.3,3.9,3.8,3.5,4.1,3.7,4.2,5.1,5,4.8,6.1,6,5.3,6.3,6.7,6.4,4.4,3.3,3.9,3.1,2.4,3,2.6,
西屯,2023/01/07 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
西屯,2023/01/07 00:00:00,WIND_DIREC,16,14,5,15,8,15,10,11,22,10,26,8,5,358,26,5,7,11,2,14,23,26,22,28,
西屯,2023/01/07 00:00:00,WIND_SPEED,2.3,2,3.3,3.5,3.5,3.3,3.2,2.8,3.2,2.9,3.4,2.1,3.2,2.8,3.9,3.4,2.9,3,2.3,1.8,0.7,0.4,0.3,0.3,
西屯,2023/01/08 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
西屯,2023/01/08 00:00:00,WIND_DIREC,12,51,47,14,19,28,357,72,171,182,96,307,342,312,346,331,326,38,14,54,8,46,31,33,
西屯,2023/01/08 00:00:00,WIND_SPEED,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,1.9,1.5,2.6,2.4,0.7,1.9,1.7,0.3,0.3,1,0.3,0.3,0.3,
西屯,2023/01/09 00:00:00,RAINFALL,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
西屯,2023/01/09 00:00:00,WIND_DIREC,269,185,64,358,350,36,73,35,25,336,20,69,31,19,329,352,357,23,11,22,13,15,87,28,
西屯,2023/01/09 00:00:00,WIND_SPEED,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.5,0.3,2.6,2.5,0.4,0.3,2.6,3.2,3.8,3.6,4.6,3.6,2.6,2.2,0.3,0.3,1.4,
西屯,2023/01/10 00:00:00,RAINFALL,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
西屯,2023/01/10 00:00:00,WIND_DIREC,42,191,178,314,18,25,9,24,320,231,353,344,314,348,346,356,0,2,17,352,353,4,350,15,
西屯,2023/01/10 00:00:00,WIND_SPEED,0.3,0.3,0.3,0.3,1.4,2.5,1.8,1.8,0.7,0.4,2.3,2.1,2.6,3.3,3.3,3.6,3.4,2.6,2.8,2.3,3.6,2.5,3.1,1.8,
西屯,2023/01/11 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
西屯,2023/01/11 00:00:00,WIND_DIREC,8,9,352,15,3,6,9,0,14,10,12,1,320,346,10,10,1,330,10,17,36,353,341,146,
西屯,2023/01/11 00:00:00,WIND_SPEED,2.4,1.4,1.6,2.8,1.5,1.3,2.1,1.5,2.7,2.8,2.2,3.1,2.9,1.4,3.5,2.8,1.9,2,1.9,2.1,0.4,0.5,0.3,0.3,
西屯,2023/01/12 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
西屯,2023/01/12 00:00:00,WIND_DIREC,205,192,321,28,358,17,343,18,8,54,359,301,349,336,20,312,321,20,44,56,45,353,78,307,
西屯,2023/01/12 00:00:00,WIND_SPEED,1.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.4,0.9,0.6,0.5,1.9,1.6,0.3,1,0.9,1.3,0.3,0.3,0.3,0.3,0.3,
西屯,2023/01/13 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
西屯,2023/01/13 00:00:00,WIND_DIREC,11,52,349,15,13,27,210,122,24,84,243,203,12,198,269,212,208,287,215,172,228,199,207,208,
西屯,2023/01/13 00:00:00,WIND_SPEED,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.9,2,0.6,1.2,1.4,2.3,0.3,0.3,0.7,0.3,0.3,
西屯,2023/01/14 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
西屯,2023/01/14 00:00:00,WIND_DIREC,11,223,12,321,234,212,213,144,209,188,183,192,211,250,235,260,295,208,233,242,195,225,319,351,
西屯,2023/01/14 00:00:00,WIND_SPEED,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.6,0.7,2.6,3.2,2.8,2.7,2.6,0.6,0.3,1.3,0.3,0.3,0.3,0.3,1.8,
西屯,2023/01/15 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
西屯,2023/01/15 00:00:00,WIND_DIREC,21,355,10,12,5,15,15,20,15,16,8,12,359,8,1,358,7,13,11,6,14,14,15,16,
西屯,2023/01/15 00:00:00,WIND_SPEED,2.6,3.6,4.1,5.1,4.4,4.1,3.7,3.7,4.7,5.3,5.3,5.3,6.1,6.4,5.3,5.7,5.5,5.7,5.7,5.2,5.5,5.2,5.1,5.4,
西屯,2023/01/16 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
西屯,2023/01/16 00:00:00,WIND_DIREC,14,14,12,15,15,9,16,15,13,8,1,8,359,6,16,12,16,15,6,16,8,5,9,24,
