測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Unnamed: 27
關山,2023/01/01 00:00:00,RAINFALL,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0.5,0,0,1,
關山,2023/01/01 00:00:00,WIND_DIREC,23,357,12,9,357,17,19,29,21,6,33,27,30,26,26,357,20,13,356,12,12,348,322,354,
關山,2023/01/01 00:00:00,WIND_SPEED,1.1,1.7,1.6,1.3,0.7,1.7,1.2,1.3,1.8,1.6,1.5,2.5,1.7,1.9,1.9,1.8,1.9,1.5,1.2,0.8,1.2,0.4,0.3,0.3,
關山,2023/01/02 00:00:00,RAINFALL,0,1,2.5,1,0,2,0.5,0,1,0.5,1,0,0,0,0.5,0,0,0.5,0,0.5,0,0,0,0,
關山,2023/01/02 00:00:00,WIND_DIREC,0,358,13,9,8,16,359,18,358,22,18,14,26,26,6,24,359,0,14,11,28,360,1,9,
關山,2023/01/02 00:00:00,WIND_SPEED,0.3,0.3,0.4,0.5,0.7,0.9,1.3,1.5,0.8,1.6,0.9,1.4,1.9,1.5,1.5,0.9,1.2,1.1,1.5,1.3,1.2,1.9,1.4,2.1,
關山,2023/01/03 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
關山,2023/01/03 00:00:00,WIND_DIREC,7,23,318,341,324,348,1,355,16,75,20,4,30,18,5,23,42,29,0,22,25,9,27,21,
關山,2023/01/03 00:00:00,WIND_SPEED,0.9,0.3,0.3,0.7,0.4,1,1.1,1.5,0.5,2,2.2,2.2,1.8,1.8,2.3,2.2,2.4,2.5,2.2,2.7,2.8,2.5,1.6,2.4,
關山,2023/01/04 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
關山,2023/01/04 00:00:00,WIND_DIREC,8,1,19,18,22,19,21,32,19,9,16,26,45,26,17,12,8,12,21,302,1,335,253,311,
關山,2023/01/04 00:00:00,WIND_SPEED,2,2.6,2.3,1.7,2.7,2.2,1.8,2.1,2.7,2.6,3.3,2.5,2.4,2.3,2.9,2.2,2.1,1.7,1.2,0.3,0.8,0.4,0.7,0.3,
關山,2023/01/05 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
關山,2023/01/05 00:00:00,WIND_DIREC,324,317,309,327,345,329,326,1,21,41,0,348,345,348,343,11,18,37,359,13,355,354,294,310,
關山,2023/01/05 00:00:00,WIND_SPEED,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.8,1.3,1.5,2.8,3.3,2.6,2.6,1.7,2,2,1.3,2.1,1.9,1.3,1.2,0.3,0.3,
關山,2023/01/06 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,#,#,0,0,0,0,0,0,0,0,0,0,0,
關山,2023/01/06 00:00:00,WIND_DIREC,348,340,351,315,339,20,324,358,60,12,189,168,215,2,15,33,12,20,23,26,15,21,9,16,
關山,2023/01/06 00:00:00,WIND_SPEED,1,0.6,0.3,0.3,0.3,0.9,0.3,1.2,1.1,1.3,1.3,1.3,2.5,2.8,2.2,2.2,1.3,1.6,2.3,1.8,2.6,1.4,1.4,2,
關山,2023/01/07 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
關山,2023/01/07 00:00:00,WIND_DIREC,14,21,1,21,19,23,15,1,24,33,27,28,15,35,0,13,29,16,15,355,359,20,18,37,
