測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Unnamed: 27
陽明,2023/01/01 00:00:00,RAINFALL,2.5,3.5,3,4,2.5,2,3,5,2.5,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0.5,
陽明,2023/01/01 00:00:00,WIND_DIREC,200,190,190,170,160,190,180,170,160,180,180,150,150,160,150,150,160,150,160,150,160,160,140,160,
陽明,2023/01/01 00:00:00,WIND_SPEED,4.1,4.2,5.4,6.1,4.8,3.6,6,7.1,4.7,3.7,3.5,5.6,4.4,5.3,6.2,4.5,5.2,4.6,4,4.3,5.4,5.5,5.2,5.9,
陽明,2023/01/02 00:00:00,RAINFALL,0,0.5,0.5,0.5,0,0.5,1.5,0,0.5,0,0.5,2,2,1,1.5,2.5,1.5,1.5,1.5,1.5,1.5,1.5,1,0.5,
陽明,2023/01/02 00:00:00,WIND_DIREC,160,160,170,190,180,180,210,180,190,180,170,190,190,200,210,190,190,190,210,360,360,350,190,990,
陽明,2023/01/02 00:00:00,WIND_SPEED,5.9,5.7,4.2,3.7,3.5,2.3,2.7,3.7,3.7,4.9,4.6,3.1,3.2,2.5,2.8,2,2.4,2.6,2.2,2.4,2.5,2.2,2.1,1.9,
陽明,2023/01/03 00:00:00,RAINFALL,0.5,1,0.5,0.5,1,0.5,1.5,1,1,1,1.5,1,1,1,1,1,0.5,1,1,1,1.5,1.5,1,1,
陽明,2023/01/03 00:00:00,WIND_DIREC,200,120,90,10,50,80,200,990,350,80,120,100,80,990,990,990,160,40,70,180,90,140,220,990,
陽明,2023/01/03 00:00:00,WIND_SPEED,2.3,2.6,2.8,3.5,2.8,2.8,1.7,2.4,2.1,3,2.7,2.6,2.5,1.8,2.1,1.7,2.4,2.4,2.8,2.1,2.9,2.3,1.7,1.4,
陽明,2023/01/04 00:00:00,RAINFALL,1,1,1,1,1,1,1,0.5,0.5,1,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0,1,0.5,
陽明,2023/01/04 00:00:00,WIND_DIREC,30,990,60,220,210,140,230,220,200,220,190,180,200,170,170,100,150,150,150,150,160,160,160,160,
