測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Unnamed: 27
頭份,2023/01/01 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
頭份,2023/01/01 00:00:00,WIND_DIREC,60,68,74,70,59,106,115,128,93,197,181,183,37,59,48,11,29,35,64,60,316,26,55,328,
頭份,2023/01/01 00:00:00,WIND_SPEED,2.2,1.2,1.8,1.4,1,0.9,0.9,1.2,0.6,1,1.7,0.9,1.6,2,2.2,1.9,1.8,1.9,1.4,1.4,1.1,0.9,0.8,0.6,
頭份,2023/01/02 00:00:00,RAINFALL,0,0,0.5,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
頭份,2023/01/02 00:00:00,WIND_DIREC,336,193,87,190,94,152,151,43,59,7,25,11,34,32,9,28,19,8,23,42,33,49,49,33,
頭份,2023/01/02 00:00:00,WIND_SPEED,0.8,1.3,0.6,0.5,0.5,0.4,1,0.7,1.6,1.2,2.4,2.7,2.5,2.3,3,2.7,2.6,3,2.7,3.2,3.3,3.4,2.9,2.6,
頭份,2023/01/03 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,#,#,0,0,0,0,0,0,0,0,0,0,0,
頭份,2023/01/03 00:00:00,WIND_DIREC,33,24,40,46,43,57,12,29,26,33,26,37,36,20,23,37,49,36,33,51,53,45,57,48,
頭份,2023/01/03 00:00:00,WIND_SPEED,2.3,2.6,3,3.2,2.8,3.2,3.4,2,2.7,3,3.5,3.1,3.2,2.5,2.9,2.5,3,2.2,2.5,2.7,3.2,2.5,2.4,2.1,
頭份,2023/01/04 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
頭份,2023/01/04 00:00:00,WIND_DIREC,46,50,48,44,35,46,64,49,46,50,52,69,50,26,65,67,32,63,10,7,9,20,27,165,
頭份,2023/01/04 00:00:00,WIND_SPEED,2.8,3,2.9,2.9,2.4,2.4,2.9,2.6,3.4,3.4,2.9,4.4,2.7,2.5,3.8,2.8,2.3,1.5,1.8,1.8,1.4,1.7,1,0.3,
頭份,2023/01/05 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
頭份,2023/01/05 00:00:00,WIND_DIREC,113,122,132,44,59,57,64,83,70,52,27,3,20,38,55,51,40,46,43,48,56,37,13,359,
頭份,2023/01/05 00:00:00,WIND_SPEED,0.9,1,1,1.2,1.9,1.9,1.8,1.7,1.6,2.4,2.4,3.3,3.2,2.7,2.7,3.3,2.7,2.7,2.8,2.8,2.3,2.1,1.8,1.9,
頭份,2023/01/06 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
頭份,2023/01/06 00:00:00,WIND_DIREC,16,13,23,49,36,0,32,17,23,38,31,24,39,#,44,51,62,56,63,63,67,66,63,51,
頭份,2023/01/06 00:00:00,WIND_SPEED,2,1.7,1.5,1.7,1.8,2.7,2.3,2.7,2.4,2.2,2.6,2.7,2.2,#,3.4,2.8,2.7,2.4,2.4,2.7,2.7,2,2.6,2.3,
頭份,2023/01/07 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
頭份,2023/01/07 00:00:00,WIND_DIREC,54,51,56,52,47,42,55,55,54,50,58,58,69,59,51,57,54,66,66,58,73,77,84,86,
頭份,2023/01/07 00:00:00,WIND_SPEED,2.3,2.4,2.8,2.8,3.4,2.8,2.7,2.7,3.5,3.5,3.9,4.2,3.9,3.9,3.1,3.6,3.1,3,2.4,1.6,1.7,1,1,0.5,
頭份,2023/01/08 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
頭份,2023/01/08 00:00:00,WIND_DIREC,125,122,193,107,122,95,117,180,99,237,184,292,290,327,352,313,318,266,228,271,180,209,160,213,
頭份,2023/01/08 00:00:00,WIND_SPEED,1,0.4,0.4,1.2,0.8,0.4,0.3,0.3,0.5,0.7,1.1,2.7,1.9,3.1,2.1,2.4,1,0.9,1.3,1.8,1.3,0.7,1.3,0.6,
頭份,2023/01/09 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
頭份,2023/01/09 00:00:00,WIND_DIREC,141,322,255,230,311,174,149,231,295,245,172,246,295,334,356,357,11,4,83,70,42,34,68,105,
頭份,2023/01/09 00:00:00,WIND_SPEED,0.3,0.7,1.6,1.2,0.8,1.7,0.9,1.3,2.8,1.4,0.6,1.3,2.9,2.8,3.3,2.4,2,2.5,1.1,0.8,0.8,1,1.3,1.6,
頭份,2023/01/10 00:00:00,RAINFALL,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
頭份,2023/01/10 00:00:00,WIND_DIREC,317,61,100,5,15,27,13,59,28,66,77,10,346,349,348,21,15,8,35,32,11,45,43,359,
頭份,2023/01/10 00:00:00,WIND_SPEED,1.6,1.5,1,1.5,0.8,1,1.6,1.2,1.9,2.5,1.8,2.8,4.1,3.7,2.6,2.9,2.7,2.6,1.9,2,1.7,2.7,2,2.2,
頭份,2023/01/11 00:00:00,RAINFALL,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
頭份,2023/01/11 00:00:00,WIND_DIREC,49,18,4,9,346,9,59,307,333,348,2,0,357,350,14,347,313,328,19,164,255,163,262,198,
頭份,2023/01/11 00:00:00,WIND_SPEED,1.6,1.5,1.3,1.5,1.7,1.3,1,0.6,1.6,1.7,2.3,2.5,2.2,3.9,1.5,0.8,1,2.6,0.9,1.3,1.3,1.3,1.5,1.6,
頭份,2023/01/12 00:00:00,RAINFALL,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
頭份,2023/01/12 00:00:00,WIND_DIREC,262,259,203,260,269,248,220,298,278,314,67,342,#,309,337,307,317,329,8,334,90,308,75,192,
頭份,2023/01/12 00:00:00,WIND_SPEED,1.7,2,1.6,1,1.2,0.8,1,1.5,0.8,1.1,0.7,1.7,#,1.6,1.6,1.7,1.7,2,1.2,1.5,1.1,0.3,0.3,0.3,
頭份,2023/01/13 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
頭份,2023/01/13 00:00:00,WIND_DIREC,320,135,358,112,117,308,106,321,124,118,285,43,313,266,258,248,291,242,296,178,117,133,119,98,
頭份,2023/01/13 00:00:00,WIND_SPEED,0.3,0.3,0.3,1.1,0.3,0.5,0.7,0.8,1.1,1.1,1.7,0.9,2,1.5,2,1.5,0.6,0.4,1.5,0.7,1.3,0.4,1.1,1,
頭份,2023/01/14 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
頭份,2023/01/14 00:00:00,WIND_DIREC,126,179,122,120,73,8,120,121,280,262,276,303,289,272,268,260,255,259,227,329,10,108,357,5,
頭份,2023/01/14 00:00:00,WIND_SPEED,1,0.9,1,1.7,0.5,0.7,1.2,0.5,0.8,1.5,2.7,3.1,3.9,3.7,3.4,3.6,3.2,1.8,1.7,1.2,0.7,0.5,2.8,2.4,
頭份,2023/01/15 00:00:00,RAINFALL,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
頭份,2023/01/15 00:00:00,WIND_DIREC,26,43,38,46,42,55,64,43,47,23,36,32,39,41,38,38,42,43,50,49,40,43,46,44,
頭份,2023/01/15 00:00:00,WIND_SPEED,3.3,2.8,2.9,3.2,3.1,2.7,2.7,2.4,3.3,3.4,3.4,3.4,4.1,4.3,3.6,3.1,3.6,4.3,3.7,4.2,3.8,4.1,3.6,3.3,
頭份,2023/01/16 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
頭份,2023/01/16 00:00:00,WIND_DIREC,46,40,44,53,47,32,47,34,51,52,49,43,41,46,40,44,49,48,38,50,38,40,27,33,
頭份,2023/01/16 00:00:00,WIND_SPEED,4.2,3.3,3.5,3.6,3.3,2.9,3.1,3.8,3.3,3.7,3.6,3.2,3.4,3.3,3.3,2.9,3.4,3.3,3.6,3.3,3,2.7,2.7,2.3,
頭份,2023/01/17 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,
頭份,2023/01/17 00:00:00,WIND_DIREC,38,65,29,37,49,52,34,41,33,33,15,37,39,44,27,25,39,39,17,30,9,33,22,17,
頭份,2023/01/17 00:00:00,WIND_SPEED,2.3,1.8,2.2,1.7,2.8,1.9,1.9,2.2,2.2,1.9,2.5,2.5,2.8,2.7,2.6,2.4,2,2.2,2.1,2.9,2.6,2.4,2.5,3,
頭份,2023/01/18 00:00:00,RAINFALL,0.5,0,0,0,0,0,0,0,0,0,#,#,0,0,0,0,0,#,#,#,0,#,0,#,
頭份,2023/01/18 00:00:00,WIND_DIREC,21,44,33,38,21,45,28,35,45,27,42,44,47,35,48,44,33,47,53,45,44,#,#,45,
頭份,2023/01/18 00:00:00,WIND_SPEED,2.4,1.9,2.1,2.7,2.4,2.4,2.1,2.5,2.9,2.9,3.1,2.9,3.4,2.9,2.3,2.9,2,2.5,2.2,1.8,2.5,#,#,2.2,
頭份,2023/01/19 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
頭份,2023/01/19 00:00:00,WIND_DIREC,25,24,45,40,26,45,51,79,48,22,63,355,27,352,352,25,31,37,30,47,5,55,28,75,
頭份,2023/01/19 00:00:00,WIND_SPEED,1.8,1.8,1.9,1.5,1.6,1.3,1.7,1.6,2.3,2,2.1,2.6,2.4,3.8,4.4,3.1,2.3,2.1,1.9,1.9,1.6,0.8,1.3,1.3,
頭份,2023/01/20 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
頭份,2023/01/20 00:00:00,WIND_DIREC,130,152,55,23,48,63,29,40,44,47,49,57,42,62,51,49,56,46,59,56,60,43,55,52,
頭份,2023/01/20 00:00:00,WIND_SPEED,1.5,0.5,1.5,1.9,3,3.2,2.4,2.9,2.9,2.6,3.2,3.8,3.7,4.9,4,2.7,3,2.8,3.4,2.8,2.7,2.7,2.9,2.6,
頭份,2023/01/21 00:00:00,RAINFALL,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
頭份,2023/01/21 00:00:00,WIND_DIREC,45,53,38,56,26,48,13,44,91,29,352,6,26,353,355,359,4,286,314,216,224,230,258,254,
頭份,2023/01/21 00:00:00,WIND_SPEED,2,1.9,2,2.2,1.6,1.8,2.2,1.9,1.2,1.3,1.6,1.8,2,4.2,3.7,3.6,2.4,1.6,1.2,0.9,1.5,2.9,1.7,1.6,
頭份,2023/01/22 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
頭份,2023/01/22 00:00:00,WIND_DIREC,274,305,328,341,350,354,1,3,68,23,70,1,76,351,328,327,318,12,120,285,190,74,57,50,
頭份,2023/01/22 00:00:00,WIND_SPEED,1.7,1.6,2.1,2.2,2.2,2.2,2.6,1.8,1.6,1.5,1.5,1.5,1.4,2.5,2.2,2.2,1.5,1.4,1.1,0.5,1.3,0.4,1.5,1,
頭份,2023/01/23 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
頭份,2023/01/23 00:00:00,WIND_DIREC,1,9,66,65,63,63,8,40,26,13,17,16,13,28,33,47,50,54,52,20,44,31,40,42,
頭份,2023/01/23 00:00:00,WIND_SPEED,1.6,1.2,1.4,1.5,1.6,1.8,1.3,1.9,1.6,2.2,2.7,2.5,2.8,2.5,2.6,2.3,2.4,2.4,2.5,2.3,2.5,2.4,2.7,2.5,
頭份,2023/01/24 00:00:00,RAINFALL,0,0,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
頭份,2023/01/24 00:00:00,WIND_DIREC,36,41,37,45,46,44,41,48,49,58,51,55,46,55,49,53,58,59,58,57,52,58,53,50,
頭份,2023/01/24 00:00:00,WIND_SPEED,2.5,2.9,3.1,3.8,4,3.8,3.3,4.3,3.6,4.2,4.5,5.2,4.6,5.3,4.3,5.6,6.1,4.4,4.8,5.4,5.6,6.6,5.7,5.9,
頭份,2023/01/25 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
頭份,2023/01/25 00:00:00,WIND_DIREC,48,47,43,50,53,54,59,60,60,56,60,70,35,21,12,44,27,41,35,68,75,108,91,199,
頭份,2023/01/25 00:00:00,WIND_SPEED,5.1,5,5,4.8,4.4,4,4,3,3.2,4,3.8,3.9,2.9,2.5,3.2,2.4,1.9,1.1,1.3,1.5,0.9,0.4,0.8,0.6,
頭份,2023/01/26 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
頭份,2023/01/26 00:00:00,WIND_DIREC,177,203,177,199,255,106,121,201,186,283,337,356,354,6,21,41,29,32,47,27,49,70,86,27,
頭份,2023/01/26 00:00:00,WIND_SPEED,1.2,0.6,0.7,1.1,0.7,1.1,1.3,0.5,0.7,1.9,3.3,2.8,2.8,2.5,1.9,1.5,1.6,1.2,1.7,1.4,1.4,1.6,1.8,1.2,
頭份,2023/01/27 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
頭份,2023/01/27 00:00:00,WIND_DIREC,15,33,32,73,68,57,52,52,45,51,58,58,62,51,55,57,64,66,69,58,54,53,51,57,
頭份,2023/01/27 00:00:00,WIND_SPEED,1.3,1.7,1.1,1.2,1.6,2.4,2.3,4.1,3.8,3.9,4.2,3.5,4.5,4.7,4.7,5.2,4.6,4.5,4.8,4.5,5,5.3,4.7,4.8,
頭份,2023/01/28 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
頭份,2023/01/28 00:00:00,WIND_DIREC,55,52,55,55,51,48,41,49,55,58,27,42,41,37,45,56,63,55,57,61,49,61,58,60,
頭份,2023/01/28 00:00:00,WIND_SPEED,4.8,4.4,4,4,3.9,3.9,3.4,3.6,4,3.7,4.1,3.9,3.7,3.9,3.9,3.9,4.4,3.8,3.5,3.3,2.9,3.1,3.4,3.9,
頭份,2023/01/29 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
