測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Unnamed: 27
三義,2023/01/01 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
三義,2023/01/01 00:00:00,WIND_DIREC,25,29,25,3,11,12,24,18,357,6,14,19,11,17,6,19,26,21,22,15,23,24,16,17,
三義,2023/01/01 00:00:00,WIND_SPEED,2.6,2.4,2.1,1.8,1.9,1.8,1.7,2.6,0.8,0.9,3.3,2.5,2.5,3.4,2.5,3,1.8,2.1,2.6,3,2.1,2.1,3.4,2.6,
三義,2023/01/02 00:00:00,RAINFALL,0,0.5,0.5,1,1.5,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
三義,2023/01/02 00:00:00,WIND_DIREC,8,17,23,203,20,15,19,9,12,18,15,15,21,19,15,16,19,15,15,15,15,17,17,16,
三義,2023/01/02 00:00:00,WIND_SPEED,1.5,3.3,2.2,0.8,1,1.8,2,1.6,2.1,2.6,3.4,3.6,4.1,3.5,5,5.5,4.6,4.9,6.4,6.6,6.7,5.7,4.7,4.4,
三義,2023/01/03 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
三義,2023/01/03 00:00:00,WIND_DIREC,19,15,18,18,19,24,15,19,18,17,20,23,15,12,15,18,20,22,20,18,19,18,20,15,
三義,2023/01/03 00:00:00,WIND_SPEED,3.1,3.9,4,5.1,6.3,4.9,6.5,6.2,6.2,5.8,5.4,4,4.9,4.3,5.7,5.9,5.6,5.4,6,5,5.1,5.6,4.8,4.6,
三義,2023/01/04 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#,#,0,0,0,0,0,0,0,0,
三義,2023/01/04 00:00:00,WIND_DIREC,21,21,19,19,19,18,21,17,23,17,24,29,14,14,19,20,15,20,20,20,17,21,17,27,
三義,2023/01/04 00:00:00,WIND_SPEED,4.4,4.5,4.5,4.8,5.9,6.6,5.2,6,4.4,4.1,3,3.1,3.9,4.5,3.1,2.3,3.2,2.8,3.6,2.9,2.1,2.6,2,2.5,
三義,2023/01/05 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
三義,2023/01/05 00:00:00,WIND_DIREC,17,22,23,17,23,17,20,18,20,13,14,15,14,14,15,17,16,18,16,16,13,17,22,23,
