測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Unnamed: 27
南投,2023/01/01 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
南投,2023/01/01 00:00:00,WIND_DIREC,44,294,48,153,236,17,26,35,73,92,41,43,32,39,46,16,16,331,9,35,28,122,350,315,
南投,2023/01/01 00:00:00,WIND_SPEED,0.4,0.2,0.2,1,0.3,0.2,0.4,0.6,0.2,0.2,1.3,1.9,1.8,0.6,1.3,1,1.3,1,0.3,0.8,0.5,0.2,0.2,0.4,
南投,2023/01/02 00:00:00,RAINFALL,0,0,0,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
南投,2023/01/02 00:00:00,WIND_DIREC,5,322,354,330,121,73,350,11,332,267,13,336,2,359,346,346,338,339,11,335,338,333,343,348,
南投,2023/01/02 00:00:00,WIND_SPEED,0.2,0.2,0.5,0.6,0.3,0.4,0.9,1,1.1,1,2,1.7,1.1,1.8,1.5,2.1,1.7,1.6,0.7,2.3,1,1.7,0.8,0.6,
南投,2023/01/03 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
南投,2023/01/03 00:00:00,WIND_DIREC,351,338,346,340,352,330,342,344,2,38,78,204,350,21,347,347,341,344,351,336,359,341,344,320,
南投,2023/01/03 00:00:00,WIND_SPEED,1.2,1,1.3,0.9,1.4,1.7,0.8,1,0.5,2,0.9,1.4,0.9,1.8,2.1,2.5,2.3,2.2,1.6,1.7,1.7,1.6,1,1.1,
南投,2023/01/04 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
南投,2023/01/04 00:00:00,WIND_DIREC,356,343,339,335,343,341,348,0,345,0,215,75,36,18,16,359,330,339,10,326,345,36,68,79,
南投,2023/01/04 00:00:00,WIND_SPEED,1.6,1.4,1.4,1.3,1.3,1.3,1.5,1.2,1.3,1.3,1,1.1,2,1.8,1.3,1.5,1.3,1.7,1,0.7,1.1,1,0.5,0.4,
南投,2023/01/05 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,#,#,0,0,0,0,0,0,0,0,0,0,0,0,
南投,2023/01/05 00:00:00,WIND_DIREC,52,115,191,61,47,204,256,148,56,345,351,319,351,355,340,326,337,343,338,329,86,182,148,187,
南投,2023/01/05 00:00:00,WIND_SPEED,0.5,0.2,0.6,0.2,0.4,0.6,0.9,0.7,0.5,1.6,1.7,2.6,2.1,2.5,2.6,3.1,2.8,2.1,1.9,1.6,0.2,1.3,1,0.6,
南投,2023/01/06 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
南投,2023/01/06 00:00:00,WIND_DIREC,146,187,152,192,149,43,201,75,25,16,334,337,344,328,333,333,338,327,352,359,33,42,205,293,
南投,2023/01/06 00:00:00,WIND_SPEED,0.3,0.3,0.2,0.5,0.8,0.2,0.9,0.3,1.3,1.4,2.7,2.6,2.7,3.3,3.1,3.4,3,2.4,1,1,1.1,0.9,0.7,0.2,
南投,2023/01/07 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
南投,2023/01/07 00:00:00,WIND_DIREC,144,148,177,41,52,147,144,146,42,14,342,40,320,65,337,332,299,357,11,329,336,60,324,116,
南投,2023/01/07 00:00:00,WIND_SPEED,0.6,0.8,0.8,0.3,0.2,0.4,0.3,0.2,0.5,1.4,1.4,1.7,1.3,1.8,2.1,1.4,1.4,1,1.3,0.7,0.2,0.2,0.9,0.6,
南投,2023/01/08 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
南投,2023/01/08 00:00:00,WIND_DIREC,158,208,168,145,170,51,29,171,159,304,37,13,286,260,291,348,334,39,324,103,69,172,36,343,
南投,2023/01/08 00:00:00,WIND_SPEED,0.9,1.5,0.7,0.2,0.2,0.3,0.2,0.3,0.2,0.3,1.6,1.5,3.1,1.6,1.8,1.8,1.9,1.4,0.8,0.5,0.6,0.7,0.9,0.8,
南投,2023/01/09 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
南投,2023/01/09 00:00:00,WIND_DIREC,216,151,148,200,190,38,222,293,67,36,32,21,339,21,324,339,356,337,5,351,315,36,160,91,
南投,2023/01/09 00:00:00,WIND_SPEED,0.2,1.9,1.4,0.3,0.4,1.4,0.2,0.7,0.4,2.3,2.6,2.1,1.7,1.5,1,1.6,1.9,2.6,1.1,1.1,0.3,0.4,1.7,0.2,
南投,2023/01/10 00:00:00,RAINFALL,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
南投,2023/01/10 00:00:00,WIND_DIREC,164,330,148,288,7,10,346,49,198,44,24,42,314,#,33,355,346,355,23,341,33,26,302,321,
南投,2023/01/10 00:00:00,WIND_SPEED,0.2,0.2,0.8,0.4,1.1,1,0.7,0.4,0.8,0.4,1.6,1,2.2,#,2.6,1.6,1.9,0.8,0.3,0.6,1.1,0.5,0.9,0.6,
南投,2023/01/11 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
南投,2023/01/11 00:00:00,WIND_DIREC,285,340,135,33,12,12,57,306,39,345,29,27,345,357,354,11,16,327,22,35,171,40,56,214,
南投,2023/01/11 00:00:00,WIND_SPEED,0.2,0.3,0.2,1.5,0.8,0.5,0.2,0.3,1.4,1.5,2,1.9,2.4,1.6,1.8,1.6,1.4,1.8,1.2,1.1,0.2,0.8,0.7,1.2,
南投,2023/01/12 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
南投,2023/01/12 00:00:00,WIND_DIREC,125,187,246,326,34,40,31,57,68,39,306,48,37,29,41,8,36,46,354,318,151,149,151,185,
