測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Unnamed: 27
大園,2023/01/01 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
大園,2023/01/01 00:00:00,WIND_DIREC,49,52,50,42,45,44,41,38,39,62,64,48,45,59,57,60,52,57,56,61,58,36,34,47,
大園,2023/01/01 00:00:00,WIND_SPEED,4.4,5.2,5,4.6,4.4,4.1,4.2,4.8,4.2,5.4,5.7,5.4,5.4,5,5.5,5,5,4.4,4.5,5.3,4.9,5,5.3,4.8,
大園,2023/01/02 00:00:00,RAINFALL,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
大園,2023/01/02 00:00:00,WIND_DIREC,53,62,61,70,23,56,49,24,31,27,25,25,29,35,30,31,32,29,31,29,33,35,43,37,
大園,2023/01/02 00:00:00,WIND_SPEED,4.8,4.9,4.9,4.6,3.9,3.4,2.6,4.9,5.5,6.8,7.9,8.1,7.6,7.4,7.5,8.3,7.5,7.5,7,8,7.9,6.6,6.8,6.2,
大園,2023/01/03 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
大園,2023/01/03 00:00:00,WIND_DIREC,34,38,36,24,25,37,54,35,43,38,36,35,34,44,34,40,52,47,35,53,39,51,53,56,
大園,2023/01/03 00:00:00,WIND_SPEED,6.1,5.4,5.5,7,5.6,4.8,5.5,6,5.5,6.3,6.8,6.7,7.8,6.2,7.3,5.8,6.2,5.6,6.8,5.6,6.9,5.8,5.8,5.8,
大園,2023/01/04 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
大園,2023/01/04 00:00:00,WIND_DIREC,57,53,54,49,56,55,46,51,46,44,32,43,38,42,58,60,59,48,56,52,47,31,34,31,
大園,2023/01/04 00:00:00,WIND_SPEED,5.5,5,6.2,5.3,4.5,5.2,5.3,5.1,4.8,5.7,6.3,6,5.1,5.2,4.6,5.3,5,3.7,4.5,3.9,4.6,2.9,5.7,6.2,
大園,2023/01/05 00:00:00,RAINFALL,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
大園,2023/01/05 00:00:00,WIND_DIREC,27,23,27,22,24,30,28,35,29,33,31,25,21,26,25,26,26,26,27,27,30,37,34,28,
大園,2023/01/05 00:00:00,WIND_SPEED,6.5,7.3,5.1,7.1,6.1,5.1,5,4.2,5.3,4.7,7.1,7.3,8.7,7.8,7.3,5.5,6.1,5.3,4.6,6.3,5.4,4.3,2.9,3.2,
大園,2023/01/06 00:00:00,RAINFALL,0,0,0,0,1,0.5,0,1,1,0.5,0.5,0,0,0,#,0,0,0,0,0,0,0,0,0,
大園,2023/01/06 00:00:00,WIND_DIREC,29,25,28,25,27,28,27,19,19,20,27,24,24,24,23,27,33,45,59,60,60,71,35,56,
大園,2023/01/06 00:00:00,WIND_SPEED,2.9,4.2,3.1,4,5,3.7,3.5,4.7,4.8,5.4,5.4,5.6,5.7,5.8,7,5.7,4.5,3,2.9,2,2.3,1.8,1.5,1.9,
大園,2023/01/07 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
大園,2023/01/07 00:00:00,WIND_DIREC,73,56,65,61,61,56,55,47,52,60,73,63,83,86,64,67,64,61,58,58,69,62,61,69,
大園,2023/01/07 00:00:00,WIND_SPEED,2.7,3.2,3.8,3.7,3.9,4.1,4.5,4.2,5.2,5.1,6.2,5.8,6.3,7,5.4,5.9,5.4,5.1,4.9,4.8,4.8,5.2,4.8,4.5,
大園,2023/01/08 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
