測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Unnamed: 27
屏東,2023/01/01 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
屏東,2023/01/01 00:00:00,WIND_DIREC,264,318,354,299,12,56,266,337,14,340,13,30,39,319,334,8,293,315,296,332,275,274,262,348,
屏東,2023/01/01 00:00:00,WIND_SPEED,1.7,0.7,1.2,0.6,0.8,0.6,1.7,1.2,0.8,0.7,0.8,0.9,0.3,1.1,1.1,1.3,1.3,1.5,1.3,1.5,0.2,0.9,0.8,1.2,
屏東,2023/01/02 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
屏東,2023/01/02 00:00:00,WIND_DIREC,321,336,337,351,316,288,335,291,332,352,343,295,290,2,318,323,287,318,294,277,318,274,291,261,
屏東,2023/01/02 00:00:00,WIND_SPEED,1,1.5,1.4,1,1,1.4,1,1.1,2,2,1.4,1.4,1.6,1.4,1.3,1.2,2,1.1,1.5,1.8,1.3,0.6,0.9,1.6,
屏東,2023/01/03 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
屏東,2023/01/03 00:00:00,WIND_DIREC,318,29,338,311,301,266,33,342,315,266,289,300,324,353,43,233,305,302,319,332,277,260,322,276,
屏東,2023/01/03 00:00:00,WIND_SPEED,1.2,1.1,1.3,1.5,0.3,1.2,0.4,1.4,0.9,1.3,1.1,1.7,1.4,1.4,1,1.2,1.1,1.6,1.3,0.8,0.8,1.6,1.1,1.2,
屏東,2023/01/04 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
屏東,2023/01/04 00:00:00,WIND_DIREC,257,298,319,289,23,12,333,0,320,245,28,126,249,275,299,272,235,200,264,278,316,292,264,319,
屏東,2023/01/04 00:00:00,WIND_SPEED,1.5,0.7,0.4,0.9,1,1.2,0.9,1.2,1.8,0.8,1.1,1.2,1.1,1.3,1.2,3.1,2.4,1.7,1.1,1.3,0.8,0.6,1.1,1.1,
屏東,2023/01/05 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#,#,0,0,0,0,0,0,0,
屏東,2023/01/05 00:00:00,WIND_DIREC,314,317,326,305,305,300,265,39,320,273,293,320,245,219,246,244,288,222,171,259,141,292,309,356,
屏東,2023/01/05 00:00:00,WIND_SPEED,1.2,0.7,1,1,0.7,0.8,0.3,1.2,1.2,1.1,0.8,0.6,1.1,1.6,1.6,1.6,0.9,0.8,0.4,0.6,0.3,0.6,0.3,1.4,
屏東,2023/01/06 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
屏東,2023/01/06 00:00:00,WIND_DIREC,325,274,306,280,342,6,335,350,338,286,324,268,262,320,237,212,275,270,279,305,262,278,80,46,
屏東,2023/01/06 00:00:00,WIND_SPEED,1.3,1,1.3,1.2,1.3,2,1.4,1.5,1.5,1.1,1,1.5,2.5,1.3,1.6,1.9,2.2,1.9,1.5,1.1,1,0.7,0.6,0.7,
