測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Unnamed: 27
平鎮,2023/01/01 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
平鎮,2023/01/01 00:00:00,WIND_DIREC,57,55,58,64,63,56,54,59,58,64,62,75,71,70,58,68,76,73,74,80,78,56,45,61,
平鎮,2023/01/01 00:00:00,WIND_SPEED,3.6,3.5,3.5,4.1,4.2,3.7,3.5,4,3.2,4.4,4.2,5,3.7,4.5,3.6,4,3.3,4.1,4,3.6,4,2.9,3,2.9,
平鎮,2023/01/02 00:00:00,RAINFALL,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
平鎮,2023/01/02 00:00:00,WIND_DIREC,64,51,45,54,36,59,58,30,32,31,47,32,33,58,37,33,54,50,32,35,38,47,40,55,
平鎮,2023/01/02 00:00:00,WIND_SPEED,2.8,2.8,2.7,2.9,2.5,2.7,3,3.5,3,3.2,2.4,3.7,3.9,2.9,3.7,4.2,3.8,3.6,3.2,4.4,2.9,2.2,2,3.2,
平鎮,2023/01/03 00:00:00,RAINFALL,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
平鎮,2023/01/03 00:00:00,WIND_DIREC,62,39,45,32,42,59,56,47,45,28,37,35,31,29,65,69,74,71,53,72,65,72,48,59,
平鎮,2023/01/03 00:00:00,WIND_SPEED,4,3,2,3.4,2.3,1.7,2.8,2.6,2.7,3.6,3.3,4.2,4.1,4.2,3.8,4.6,3.8,4.5,4.2,4.4,4.2,4.1,4.2,3.5,
平鎮,2023/01/04 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
平鎮,2023/01/04 00:00:00,WIND_DIREC,65,67,58,56,61,61,64,64,58,63,57,51,58,57,57,50,57,64,53,47,60,53,43,41,
平鎮,2023/01/04 00:00:00,WIND_SPEED,3.6,3.1,3.5,3,3.2,3.6,3,3.9,4.1,3.7,5.3,5,4.3,4,4.1,4.5,3.7,4,3.5,3.3,3.4,2.4,2.3,1.7,
平鎮,2023/01/05 00:00:00,RAINFALL,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
平鎮,2023/01/05 00:00:00,WIND_DIREC,18,22,26,18,25,35,29,39,34,37,35,30,23,23,44,28,38,32,37,30,31,74,78,73,
平鎮,2023/01/05 00:00:00,WIND_SPEED,1.6,1.9,2.2,2.1,2.7,2.6,2.9,2.9,2.9,2.8,2.7,2.9,3.1,2.7,3.4,2.9,3.1,2.9,2.6,2.2,2.8,1.6,2.6,2.1,
平鎮,2023/01/06 00:00:00,RAINFALL,0,0,0,0,0,1,0,0,0,0.5,1,#,0.5,0,0,0,0,0,0,0,0,0,0,0,
平鎮,2023/01/06 00:00:00,WIND_DIREC,56,46,26,44,38,31,20,31,21,21,25,28,23,22,31,33,70,81,67,87,80,86,86,85,
平鎮,2023/01/06 00:00:00,WIND_SPEED,1.3,0.6,0.6,0.8,1.5,2.5,2.1,2,2.1,2.4,2.4,2.5,2.7,2.7,3.3,3.4,2.2,2.1,2.1,2.9,2.5,3.3,3.3,2.7,
平鎮,2023/01/07 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
平鎮,2023/01/07 00:00:00,WIND_DIREC,80,80,56,77,75,70,67,69,70,77,79,69,72,67,69,69,71,72,73,60,75,77,83,78,
平鎮,2023/01/07 00:00:00,WIND_SPEED,2.7,2.7,2.4,2.8,3.1,3,3.3,4.2,5.3,6,5.7,5.2,4.7,5.3,4.8,4.6,4.4,4,3.9,3.6,4,4,4.2,3.5,
平鎮,2023/01/08 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
平鎮,2023/01/08 00:00:00,WIND_DIREC,86,78,80,87,90,91,98,99,93,93,98,81,55,47,354,294,69,85,105,78,102,108,173,103,
平鎮,2023/01/08 00:00:00,WIND_SPEED,3.3,3.3,2.7,3.2,3.6,3.2,3.1,2.7,2.7,2.7,2.7,2.4,1.9,1.3,1.5,1.3,1.6,2.1,1.2,1.4,1.7,0.9,0.5,0.7,
平鎮,2023/01/09 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,
平鎮,2023/01/09 00:00:00,WIND_DIREC,150,88,122,271,278,179,120,272,276,217,286,263,288,274,295,292,342,288,90,71,35,102,50,82,
平鎮,2023/01/09 00:00:00,WIND_SPEED,0.5,0.4,0.4,1.7,0.6,0.5,0.4,0.8,1.2,0.5,1.4,1.3,1.8,2.8,2.3,1.1,1,0.7,0.7,1.1,1,2.9,1.2,2.8,
平鎮,2023/01/10 00:00:00,RAINFALL,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
平鎮,2023/01/10 00:00:00,WIND_DIREC,55,17,71,23,33,60,68,57,62,52,29,62,41,47,23,19,19,24,27,22,24,29,37,24,
平鎮,2023/01/10 00:00:00,WIND_SPEED,1.9,1.8,1.6,1.8,1.2,2.6,2.4,2.3,2.9,3.3,4,3.4,3.1,3.6,4.2,2.5,3,2.7,2.4,2.7,3.3,3.1,2.8,2.5,
平鎮,2023/01/11 00:00:00,RAINFALL,0,0,0,0.5,0,0,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
平鎮,2023/01/11 00:00:00,WIND_DIREC,35,31,22,46,338,221,24,71,59,51,19,17,83,290,317,92,90,109,73,99,111,142,190,166,
平鎮,2023/01/11 00:00:00,WIND_SPEED,0.5,1.4,1.3,0.5,0.5,0.5,1.4,2.3,1.5,1.2,2,2,2.6,1.6,0.8,3.2,2,0.7,1.1,0.6,1.2,0.7,1,0.5,
平鎮,2023/01/12 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
