測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Unnamed: 27
忠明,2023/01/01 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
忠明,2023/01/01 00:00:00,WIND_DIREC,1,330,28,85,310,40,29,27,45,306,15,359,312,335,320,339,333,22,353,31,14,3,298,346,
忠明,2023/01/01 00:00:00,WIND_SPEED,1.3,0.9,1,0.7,1.6,1,0.7,1.1,0.7,0.5,1.3,2.1,1,0.9,2,1.6,1.5,1.8,1.5,1.1,1.2,0.9,1.3,1.1,
忠明,2023/01/02 00:00:00,RAINFALL,0.5,0,0,1,1,0.5,0.5,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,
忠明,2023/01/02 00:00:00,WIND_DIREC,71,334,76,9,67,325,46,274,46,311,23,347,342,333,333,5,11,353,6,39,15,348,351,2,
忠明,2023/01/02 00:00:00,WIND_SPEED,1.1,0.6,1,0.3,0.8,0.9,1,0.4,1.2,2.1,1.9,1.7,2.5,1.7,2.3,1.4,2.3,2,1.6,2.4,2,1.4,2.1,2.1,
忠明,2023/01/03 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,#,#,0,0,0,0,0,0,0,0,0,0,0,0,
忠明,2023/01/03 00:00:00,WIND_DIREC,347,359,37,25,35,3,355,38,40,24,333,330,21,46,26,16,26,21,32,21,357,41,12,342,
忠明,2023/01/03 00:00:00,WIND_SPEED,1.9,2,2.6,1.9,1.9,1.4,2.3,1.7,2.5,2.4,1.8,1.7,2.5,3.4,2.8,1.9,2.2,1.9,2.4,1.8,1.4,2.9,1.8,2,
忠明,2023/01/04 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
忠明,2023/01/04 00:00:00,WIND_DIREC,8,38,8,19,31,16,45,45,29,53,56,340,317,324,308,324,353,3,357,336,1,42,45,347,
忠明,2023/01/04 00:00:00,WIND_SPEED,1.9,1.8,2.1,1.8,2.2,1.5,2.4,1.6,1.4,2.4,1.4,1.6,2,2,1.8,2.1,1.8,1.8,1.8,2.1,1.5,1.2,1.2,1.9,
忠明,2023/01/05 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
忠明,2023/01/05 00:00:00,WIND_DIREC,33,18,45,31,52,23,6,33,45,9,359,15,346,357,26,43,356,12,44,47,27,20,56,28,
忠明,2023/01/05 00:00:00,WIND_SPEED,0.5,1.2,2,1.8,1.2,1,1,1.6,1.7,2.7,2.5,1.6,2.9,3.1,2.2,2.9,2.6,1.9,2.4,1.8,1.8,1.2,0.7,1,
忠明,2023/01/06 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
忠明,2023/01/06 00:00:00,WIND_DIREC,43,45,40,34,29,29,28,348,8,5,357,344,12,346,21,41,40,29,12,7,347,18,359,37,
忠明,2023/01/06 00:00:00,WIND_SPEED,0.7,0.9,1.9,1.8,1.4,2.8,1.5,2.2,1.6,2.6,2.7,3,2.8,3,2.7,3,3.7,1.6,1.5,1.5,1.7,0.7,1.5,1.6,
忠明,2023/01/07 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
忠明,2023/01/07 00:00:00,WIND_DIREC,36,43,18,40,19,31,39,42,48,345,358,356,5,351,41,348,1,12,4,7,351,354,27,316,
忠明,2023/01/07 00:00:00,WIND_SPEED,1.1,0.5,0.7,1.7,1.7,2,2.2,1.7,2.1,1.5,2.4,1.5,2.3,1.8,1.8,1.8,2.1,1.6,1.8,1.4,1.7,1.3,0.8,0.8,
忠明,2023/01/08 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
忠明,2023/01/08 00:00:00,WIND_DIREC,350,347,4,340,343,42,347,331,145,252,237,199,317,313,316,23,5,48,309,326,45,44,48,58,
忠明,2023/01/08 00:00:00,WIND_SPEED,0.5,0.3,0.8,0.9,0.5,0.7,0.7,0.5,0.7,1.2,1.5,2,1.7,3.1,1.9,1.9,1.2,1.6,1.5,0.7,1.9,1.4,1.6,1.4,
忠明,2023/01/09 00:00:00,RAINFALL,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
忠明,2023/01/09 00:00:00,WIND_DIREC,258,137,309,20,333,35,51,57,326,313,83,120,68,340,340,353,0,39,12,53,62,26,30,36,
忠明,2023/01/09 00:00:00,WIND_SPEED,0.7,1.4,0.5,0.3,0.7,1.4,0.4,0.8,1.5,2.2,1,0.8,1.2,2.4,2.5,3.2,2.9,2,1.6,1.9,1,0.7,0.9,0.8,
忠明,2023/01/10 00:00:00,RAINFALL,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
忠明,2023/01/10 00:00:00,WIND_DIREC,101,137,50,313,47,41,347,355,197,244,292,339,313,327,336,37,3,359,13,334,346,343,357,358,
忠明,2023/01/10 00:00:00,WIND_SPEED,0.9,0.9,0.3,1,0.9,2.2,1,0.9,1,1.3,1.3,1.6,1.9,2.5,2.4,1.5,2.5,1.1,1.8,0.6,1.7,1.2,1.5,1.5,
忠明,2023/01/11 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
忠明,2023/01/11 00:00:00,WIND_DIREC,40,60,337,23,345,339,346,349,339,334,329,346,329,16,330,21,343,320,9,35,337,311,46,187,
忠明,2023/01/11 00:00:00,WIND_SPEED,2.2,1,1.6,1.3,1.4,1.3,0.9,1.2,2.4,2.4,2.3,1.8,1.8,2.3,2.8,2.3,1.7,2.1,1.3,1.5,0.5,1.5,1.2,1.2,
忠明,2023/01/12 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
