測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Unnamed: 27
新營,2023/01/01 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,
新營,2023/01/01 00:00:00,WIND_DIREC,16,8,10,30,343,17,30,11,10,18,14,16,15,17,0,7,9,14,15,0,10,13,14,15,
新營,2023/01/01 00:00:00,WIND_SPEED,1.7,1.3,1.2,0.9,2,1.4,1,1.4,1.9,2,2.3,2,2,2,2.3,2.4,3.1,2.7,1.9,1.8,2.3,2.1,2.3,2,
新營,2023/01/02 00:00:00,RAINFALL,0,0,0.5,0,0.5,0.5,0.5,0.5,1.5,0.5,1.5,1,1.5,0.5,0,0,0,0.5,0,0,0,0,0,0,
新營,2023/01/02 00:00:00,WIND_DIREC,8,355,4,22,41,5,10,17,18,15,356,13,24,12,352,353,16,5,13,12,17,10,16,10,
新營,2023/01/02 00:00:00,WIND_SPEED,1.7,1.2,1.7,1.9,1.2,2.3,2.1,2.1,2.3,2.6,2.1,1.4,1.6,1.8,2.4,2.2,1.4,1.3,2.5,2.5,1.9,2.6,1.8,2.8,
新營,2023/01/03 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
新營,2023/01/03 00:00:00,WIND_DIREC,12,14,24,22,16,15,10,13,24,13,24,9,8,10,10,359,8,18,10,10,11,11,20,19,
新營,2023/01/03 00:00:00,WIND_SPEED,1.7,2,2.4,2,1.7,1.9,2.5,2.5,2.6,3.1,2.6,2.9,2.6,2.3,2.5,2.1,2.3,2.8,2.8,2.7,2.9,2.8,2.4,1.9,
新營,2023/01/04 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
新營,2023/01/04 00:00:00,WIND_DIREC,9,23,12,9,15,8,7,22,13,15,12,26,353,35,358,348,346,0,8,15,20,17,14,20,
新營,2023/01/04 00:00:00,WIND_SPEED,2.5,2.4,2.4,2.8,2.9,2.7,2.6,2.6,2.3,3,2.5,2.5,1.7,2.1,2.1,3,1.4,2.5,2.6,2.1,1.3,2.3,2.5,1.3,
新營,2023/01/05 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,#,#,0,0,0,0,0,0,0,0,0,0,0,
新營,2023/01/05 00:00:00,WIND_DIREC,24,23,20,12,22,22,12,14,15,14,18,13,4,355,3,8,356,11,6,5,11,12,15,14,
新營,2023/01/05 00:00:00,WIND_SPEED,0.9,0.9,0.9,1.7,1.7,1.8,1.9,1.5,2.4,2.5,2.8,2.6,2.9,2.7,2.4,2.3,3.1,3.1,1.8,1.9,2.2,2.7,2.4,1.5,
新營,2023/01/06 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
新營,2023/01/06 00:00:00,WIND_DIREC,25,25,21,16,15,21,13,13,13,23,19,356,16,14,16,11,14,10,21,16,19,17,15,14,
新營,2023/01/06 00:00:00,WIND_SPEED,1.9,1.5,1.3,2.2,1.9,2.1,1.9,2.5,3,3.1,2.9,3,3.4,4.4,4.7,3.6,3.8,2.9,2.7,2.5,2.1,2,1.7,2.4,
新營,2023/01/07 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,#,0,0,0,0,0,0,0,0,0,0,0,0,
新營,2023/01/07 00:00:00,WIND_DIREC,18,23,20,25,11,16,22,28,9,3,1,19,312,40,343,350,3,1,3,0,344,2,5,7,
新營,2023/01/07 00:00:00,WIND_SPEED,1.8,1.3,1.2,1.3,1.8,1.9,1.6,1.7,2.3,1.9,2.1,1.6,1.5,0.7,2.4,3.3,2.2,1.7,1.4,1.3,1.2,1.1,1,1.2,
新營,2023/01/08 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
新營,2023/01/08 00:00:00,WIND_DIREC,357,13,23,14,358,18,30,39,49,349,10,8,311,337,352,1,344,9,349,359,5,19,341,11,
新營,2023/01/08 00:00:00,WIND_SPEED,0.5,1.4,0.9,1.4,1.1,1,0.4,0.3,1,1.6,1.3,1.5,2.1,1.9,1.7,1.4,3.2,2.2,1.7,2,1.9,2.1,1.7,1.7,
新營,2023/01/09 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
新營,2023/01/09 00:00:00,WIND_DIREC,33,38,66,18,341,17,18,7,6,3,9,18,7,18,23,359,6,11,6,16,8,16,352,343,
新營,2023/01/09 00:00:00,WIND_SPEED,1.9,1.2,0.9,0.3,1.5,1,1.5,1,1.3,1.5,1.7,1.8,2.1,2,2.3,3,2.9,2.7,2.6,2.1,1.5,1.2,0.9,0.7,
新營,2023/01/10 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
新營,2023/01/10 00:00:00,WIND_DIREC,10,21,20,77,346,30,20,35,3,339,339,350,345,11,351,0,7,359,343,20,10,8,8,348,
新營,2023/01/10 00:00:00,WIND_SPEED,0.9,1.5,1.2,0.6,1.5,0.9,2.1,1.6,1.8,1.6,1.4,1.7,2.5,2.6,2.9,2.4,1.9,2.3,2.3,1.5,1.5,1.9,1.3,1.5,
新營,2023/01/11 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
新營,2023/01/11 00:00:00,WIND_DIREC,17,82,348,316,10,17,30,16,359,6,20,8,339,357,#,#,8,353,2,13,345,348,7,14,
新營,2023/01/11 00:00:00,WIND_SPEED,2.1,1.4,2,0.6,2.2,1.7,1.6,1.5,1.9,2.4,2.6,1.9,2.5,2.9,#,#,2.4,1.8,2.3,2.3,1.8,1.8,1.3,0.7,
新營,2023/01/12 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
新營,2023/01/12 00:00:00,WIND_DIREC,357,47,0,5,35,9,14,18,8,347,1,14,352,291,308,334,343,7,10,13,37,355,54,13,
新營,2023/01/12 00:00:00,WIND_SPEED,0.3,0.4,0.8,1.8,1,0.5,0.9,0.5,1.2,1.6,1.9,1.3,1,2,2.2,2.1,1.6,1.3,2,2.2,0.9,0.8,0.6,0.3,
新營,2023/01/13 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
新營,2023/01/13 00:00:00,WIND_DIREC,348,17,25,32,35,21,74,37,19,81,330,250,298,240,295,254,240,217,196,277,219,92,210,266,
新營,2023/01/13 00:00:00,WIND_SPEED,1.3,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.7,0.4,0.9,1.3,1.6,1.6,2.6,1.9,1.5,0.8,1.1,0.3,0.4,1,0.5,0.6,
新營,2023/01/14 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
新營,2023/01/14 00:00:00,WIND_DIREC,185,249,199,87,62,66,322,66,176,210,197,203,250,249,264,287,311,344,348,354,18,71,99,95,
新營,2023/01/14 00:00:00,WIND_SPEED,1,0.3,0.4,1,0.3,0.3,0.3,0.3,1.2,2.2,1.7,1.9,1.6,1.6,2.4,2.7,1.9,1.1,0.6,0.8,0.4,0.3,0.7,1.3,
新營,2023/01/15 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
新營,2023/01/15 00:00:00,WIND_DIREC,60,4,6,7,8,16,21,11,358,8,22,17,9,5,351,7,2,16,11,3,19,10,13,13,
新營,2023/01/15 00:00:00,WIND_SPEED,0.3,1.3,3.1,2.4,2.8,3.1,2.6,2.3,2.9,2.1,2,2.5,2.4,3.3,3.1,3.9,2.8,3.8,2.8,3.2,3.6,2.6,3.4,3.4,
新營,2023/01/16 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
新營,2023/01/16 00:00:00,WIND_DIREC,10,16,8,10,16,11,14,11,16,20,25,7,19,14,13,8,16,13,19,10,23,17,8,13,
新營,2023/01/16 00:00:00,WIND_SPEED,3.1,3.5,3.2,3,1.8,3.3,2.4,3.8,3.3,2.8,2.7,3,3.2,3.2,3.5,3.7,3.7,2.8,2.8,2.9,2.2,2.3,2.6,2.9,
新營,2023/01/17 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,#,#,0,0,0,0,0,0,0,0,0,0,0,
新營,2023/01/17 00:00:00,WIND_DIREC,24,19,15,18,13,41,12,17,16,16,18,6,16,12,347,354,11,2,12,15,13,13,14,14,
新營,2023/01/17 00:00:00,WIND_SPEED,3,2.1,1.1,2.8,2.3,1.7,1.5,1.7,1.8,2.3,2.9,3,2.5,2.9,3.2,3.1,2.6,2.7,3.7,1.9,3.1,2.8,2.6,2.8,
新營,2023/01/18 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#,0,
新營,2023/01/18 00:00:00,WIND_DIREC,14,10,11,17,12,14,11,9,13,16,15,12,13,4,14,12,11,10,16,13,16,14,19,18,
新營,2023/01/18 00:00:00,WIND_SPEED,2.1,2.3,2.9,3.4,3.5,3.1,3.2,2.9,3.2,3.1,3.4,4.7,4.3,3.7,3.9,3.9,3.3,3.8,3.4,3,2.2,2.3,2.2,1.6,
新營,2023/01/19 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
新營,2023/01/19 00:00:00,WIND_DIREC,17,22,16,23,12,22,15,19,38,17,16,22,10,8,16,356,3,10,16,6,14,11,2,7,
新營,2023/01/19 00:00:00,WIND_SPEED,1.5,2.2,2.2,1.9,1.6,1.1,2.2,1.7,2,1.7,2.1,2.1,3.1,3.4,3.2,2,2.6,2.8,2.4,1.9,1.8,1.8,0.9,0.6,
新營,2023/01/20 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
新營,2023/01/20 00:00:00,WIND_DIREC,15,17,15,14,45,6,25,28,11,25,24,11,359,352,1,356,14,13,13,11,8,358,9,16,
新營,2023/01/20 00:00:00,WIND_SPEED,1.2,2.1,1.2,1.3,2.2,1.6,1.2,1.5,3.6,2.5,2.2,2.1,2.5,3,3.1,3.3,2.7,2.9,3.5,2.4,2,1.4,2,2.2,
新營,2023/01/21 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
新營,2023/01/21 00:00:00,WIND_DIREC,20,12,14,20,13,14,28,37,23,24,19,10,23,27,319,1,354,359,16,26,12,7,352,15,
新營,2023/01/21 00:00:00,WIND_SPEED,1.9,1.8,1.5,1.6,1.8,1.9,1.2,1.6,2.4,2.1,1.7,1.7,2,1.6,2.3,3.3,2.5,2.8,2.4,2.5,2.6,2.2,1.3,1.5,
新營,2023/01/22 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
新營,2023/01/22 00:00:00,WIND_DIREC,346,2,16,24,28,24,21,23,25,27,344,3,17,24,9,342,354,17,15,17,17,13,22,16,
新營,2023/01/22 00:00:00,WIND_SPEED,1.6,1.6,2.3,2.5,1.9,2.4,2.1,2.2,2,1.7,2.6,2.5,1.8,2.1,2.3,2.9,2.8,2.7,2.9,2.3,1.3,1.4,1.7,1.7,
新營,2023/01/23 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
新營,2023/01/23 00:00:00,WIND_DIREC,15,11,5,18,16,21,20,14,25,20,14,359,5,358,354,2,19,17,16,18,6,11,9,16,
新營,2023/01/23 00:00:00,WIND_SPEED,1.2,2.5,2,2.9,2.2,2.5,2.8,1.9,2.1,2.2,2.2,2.1,2.4,3.1,3,3.4,3,2.8,2.5,2.1,1.9,3.2,3.3,2.3,
新營,2023/01/24 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
新營,2023/01/24 00:00:00,WIND_DIREC,14,17,18,21,14,9,19,18,14,17,21,24,17,18,9,11,16,10,15,14,13,13,11,8,
新營,2023/01/24 00:00:00,WIND_SPEED,3.5,3.5,5,4.4,4.4,6.4,6,5.5,6.1,6.3,5.8,5.8,5.5,5.9,6.1,5.8,5.1,4.5,3.7,4.6,4.1,4.1,3.4,2.8,
新營,2023/01/25 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
新營,2023/01/25 00:00:00,WIND_DIREC,14,14,12,10,13,16,19,3,38,354,25,260,233,225,336,341,351,15,17,4,9,8,14,15,
新營,2023/01/25 00:00:00,WIND_SPEED,2.5,2.5,2.3,2.3,1.7,1.3,1.5,1.9,1.3,1.5,1.2,1.3,1.6,1.4,2.6,2.9,2.8,2.7,2.2,1.3,1.2,1.4,1.5,1.3,
新營,2023/01/26 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
新營,2023/01/26 00:00:00,WIND_DIREC,20,7,345,15,33,86,34,54,0,7,350,26,30,355,353,8,22,8,8,22,41,22,14,15,
新營,2023/01/26 00:00:00,WIND_SPEED,1.4,0.9,1.3,1.7,1.4,0.3,0.4,0.7,1.5,2.1,2.3,2.7,2.1,2.3,4.1,3.6,2.6,2.2,3,2.8,2.2,2.3,2.3,1.8,
