測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Unnamed: 27
朴子,2023/01/01 00:00:00,RAINFALL,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
朴子,2023/01/01 00:00:00,WIND_DIREC,354,338,350,337,344,348,352,352,358,353,347,350,346,350,347,351,351,354,353,352,357,355,357,355,
朴子,2023/01/01 00:00:00,WIND_SPEED,1,1,0.6,0.7,1.1,0.9,1.6,1.2,1,1.9,1.2,2.1,2.5,2.6,2.5,2.8,2.5,2.7,2.4,2.1,1.8,2,2,1.6,
朴子,2023/01/02 00:00:00,RAINFALL,0,0,0,1,0.5,1.5,0,0.5,1.5,1,0,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,
朴子,2023/01/02 00:00:00,WIND_DIREC,347,351,356,352,350,339,340,2,353,358,339,353,29,11,334,348,359,352,351,359,357,359,353,355,
朴子,2023/01/02 00:00:00,WIND_SPEED,1.5,1.7,2.1,1.8,2,1.9,2.1,2.2,1.8,1.9,3,2.5,1.3,1.3,3,2.4,1.8,1.7,2.4,2,2.5,2.1,2.1,2.1,
朴子,2023/01/03 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
朴子,2023/01/03 00:00:00,WIND_DIREC,355,358,349,357,7,351,0,358,355,351,355,354,347,352,359,355,353,356,345,355,350,0,353,1,
朴子,2023/01/03 00:00:00,WIND_SPEED,1.9,2.2,2.1,1.9,1.9,1.5,1.7,1.9,2.4,3.1,2.4,2.3,2.5,1.9,2.3,2,2.3,1.8,0.6,2.2,1.7,2,1.9,2.5,
朴子,2023/01/04 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#,#,0,0,0,0,0,0,0,0,
朴子,2023/01/04 00:00:00,WIND_DIREC,355,355,356,353,2,0,351,354,3,13,2,352,8,343,335,347,338,353,358,359,356,355,354,350,
朴子,2023/01/04 00:00:00,WIND_SPEED,1.9,0.8,1.6,1.9,1.4,1.8,2,1.7,1.8,1.8,1.3,1.4,1.8,1.6,2.8,2.5,2.5,2.5,2,1.8,1.6,1.8,1.7,1.2,
朴子,2023/01/05 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
朴子,2023/01/05 00:00:00,WIND_DIREC,354,352,347,354,349,5,357,350,357,357,350,353,351,345,338,346,345,352,353,353,343,358,3,4,
朴子,2023/01/05 00:00:00,WIND_SPEED,1,1.2,0.7,1.3,1.5,1.4,2.3,2.5,2.1,2.3,2.8,2.9,2.4,3.1,2.4,2.7,1.8,2.1,1.8,1.7,1.3,1.6,2.5,1.6,
朴子,2023/01/06 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
朴子,2023/01/06 00:00:00,WIND_DIREC,355,350,358,1,8,4,1,356,352,354,352,350,353,354,353,352,356,352,354,355,357,355,353,1,
朴子,2023/01/06 00:00:00,WIND_SPEED,1.6,1.7,1.4,1.4,1.6,1.5,1.9,2.5,2.9,2.6,3.1,3,3.4,3.3,3.2,4,2.6,2.5,2.2,1.7,1.6,1.6,1.3,1,
朴子,2023/01/07 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
朴子,2023/01/07 00:00:00,WIND_DIREC,351,353,1,353,354,354,353,357,4,44,356,33,326,343,336,349,346,350,351,340,347,356,353,348,
朴子,2023/01/07 00:00:00,WIND_SPEED,1.1,1.6,1.8,1.5,1.6,1.8,1.6,1.7,1.9,1.5,1.6,1.4,1.8,2.1,2.5,2.2,2,1.4,0.3,0.3,1.3,0.8,0.3,0.3,
朴子,2023/01/08 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
朴子,2023/01/08 00:00:00,WIND_DIREC,348,352,342,346,345,346,351,351,17,343,323,325,306,335,336,343,334,1,353,4,8,359,336,355,
朴子,2023/01/08 00:00:00,WIND_SPEED,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,1.7,2.3,1.4,1.5,1.6,3,1.4,1.1,0.4,1.1,1.4,1.7,1.6,
朴子,2023/01/09 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
朴子,2023/01/09 00:00:00,WIND_DIREC,28,71,11,340,356,356,353,74,332,351,346,59,353,350,352,339,342,354,358,356,352,357,352,312,
朴子,2023/01/09 00:00:00,WIND_SPEED,0.6,0.4,0.5,0.5,0.8,0.8,1,0.9,1.8,1.4,2,1.4,0.4,1.5,2.1,3,2.5,2.6,1.7,1.5,1.2,0.8,0.5,0.5,
朴子,2023/01/10 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
朴子,2023/01/10 00:00:00,WIND_DIREC,61,59,85,71,334,338,1,82,23,325,356,348,341,345,352,358,352,358,358,354,347,353,1,356,
朴子,2023/01/10 00:00:00,WIND_SPEED,0.5,0.7,1.2,0.4,2,1.6,2.1,1.1,1.3,2,1.6,1.8,2.9,2.1,2.2,2.3,2.4,1.6,2,1.8,1.9,1.2,1.5,1.7,
朴子,2023/01/11 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
朴子,2023/01/11 00:00:00,WIND_DIREC,45,38,341,333,345,358,346,355,330,335,356,16,343,349,344,353,0,335,354,1,359,343,357,45,
朴子,2023/01/11 00:00:00,WIND_SPEED,0.7,1,1.4,1.2,1.7,1.5,0.9,1.6,2.8,2.7,2.2,1.4,2.6,2.2,2.2,2.8,1.8,2.5,2.1,1.3,1.2,1.1,0.8,0.7,
朴子,2023/01/12 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
朴子,2023/01/12 00:00:00,WIND_DIREC,355,342,330,330,339,353,27,60,1,352,15,302,334,305,323,319,344,349,352,21,347,357,354,355,
朴子,2023/01/12 00:00:00,WIND_SPEED,0.5,0.7,1.5,1.2,1.4,1.1,0.8,0.7,0.7,1.7,1.3,1.2,1.5,2.2,2.3,2.7,1.1,1.2,1.8,0.7,0.8,0.9,1.1,0.9,
朴子,2023/01/13 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
朴子,2023/01/13 00:00:00,WIND_DIREC,344,350,345,352,342,333,15,58,356,32,111,355,23,303,318,242,191,199,183,215,201,177,174,196,
朴子,2023/01/13 00:00:00,WIND_SPEED,0.7,0.5,0.5,0.3,0.4,0.3,0.3,0.6,0.7,1.1,0.7,1.1,1.1,2.1,1.9,1.5,0.5,1,1,0.8,1.2,0.9,0.9,1,
朴子,2023/01/14 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
朴子,2023/01/14 00:00:00,WIND_DIREC,205,224,210,190,190,190,190,190,153,182,220,232,265,256,284,290,289,313,345,327,49,91,91,91,
朴子,2023/01/14 00:00:00,WIND_SPEED,0.7,0.4,0.6,0.6,0.5,0.4,0.3,0.6,1.5,1.6,1.7,1.6,2.7,2.4,1.8,2.3,2,1,0.4,0.3,0.3,0.3,0.3,0.3,
朴子,2023/01/15 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
朴子,2023/01/15 00:00:00,WIND_DIREC,342,336,356,356,352,2,0,1,357,353,3,356,354,346,347,354,348,358,355,358,1,3,359,2,
朴子,2023/01/15 00:00:00,WIND_SPEED,0.9,1.7,2.1,2.5,2.4,2.2,1.7,1.5,1.9,2.5,2.2,2.6,3.2,3.1,2.9,3.3,2.7,2.8,2.8,2.5,2.7,1.5,2.7,2.4,
朴子,2023/01/16 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
朴子,2023/01/16 00:00:00,WIND_DIREC,356,2,347,356,359,355,359,354,3,358,348,1,355,9,346,354,359,357,357,358,356,354,8,356,
朴子,2023/01/16 00:00:00,WIND_SPEED,2.4,2.6,2.1,2.8,2.3,3.3,2.1,2.8,2.5,2.1,2.4,2.3,2.4,2.2,2.7,3,2.5,2.8,2.6,1.9,2.2,1.3,1.8,1.9,
朴子,2023/01/17 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#,#,0,0,0,0,0,0,0,
朴子,2023/01/17 00:00:00,WIND_DIREC,355,354,0,2,358,350,356,7,2,359,348,352,333,349,339,345,0,356,354,359,350,1,358,359,
朴子,2023/01/17 00:00:00,WIND_SPEED,2.1,1.9,2.1,1.7,1.3,0.9,1.4,1.7,2,2.5,3,2.2,3.7,2.6,3.2,3.1,2.8,2.2,3,2.2,2,2.2,2.3,1.9,
朴子,2023/01/18 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
朴子,2023/01/18 00:00:00,WIND_DIREC,4,0,0,359,358,355,357,356,357,347,345,353,347,353,357,1,354,355,359,359,354,354,353,7,
朴子,2023/01/18 00:00:00,WIND_SPEED,2,2,2.1,2.3,2.6,2.1,2.4,2.3,2.4,2.8,3.6,3.4,3.4,3.6,3.7,2.6,2.4,2.3,2.4,2.1,1.7,1.8,2.1,2.2,
朴子,2023/01/19 00:00:00,RAINFALL,0,0,#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
朴子,2023/01/19 00:00:00,WIND_DIREC,2,354,2,1,356,351,0,350,20,343,350,341,352,359,352,347,349,352,353,354,351,358,342,352,
朴子,2023/01/19 00:00:00,WIND_SPEED,2.2,2.1,2.1,1.6,2,1.8,1.4,1.8,1.3,1.6,1.8,3.1,2.7,2.4,2,2.9,2.5,2.1,1.7,1.6,1.5,1,0.8,1,
朴子,2023/01/20 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
朴子,2023/01/20 00:00:00,WIND_DIREC,313,347,350,357,358,355,359,356,353,350,349,350,341,7,356,349,356,353,358,357,356,347,353,353,
朴子,2023/01/20 00:00:00,WIND_SPEED,0.4,1.4,1.7,1.1,1.3,1.6,1.8,2.3,2.3,2.4,2.4,2.3,2.9,2.3,2.2,2.8,2.4,2.5,2.4,1.7,1.6,1.5,1.5,1.4,
朴子,2023/01/21 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
朴子,2023/01/21 00:00:00,WIND_DIREC,355,358,353,356,359,359,355,352,28,13,63,340,344,350,357,352,340,0,355,349,356,357,0,351,
朴子,2023/01/21 00:00:00,WIND_SPEED,1.6,1.3,1.1,1.2,1.3,1.3,1,1.6,1.4,1.7,1.2,2,2.2,2.7,2.7,2.3,2.5,2.8,2.3,2,1.4,1.8,1.9,0.8,
朴子,2023/01/22 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
朴子,2023/01/22 00:00:00,WIND_DIREC,334,349,353,1,358,356,358,356,67,50,341,357,333,344,335,345,353,352,355,341,343,332,342,341,
朴子,2023/01/22 00:00:00,WIND_SPEED,1.5,1.4,1,1.3,1.3,1.3,1.3,1.1,2,1.8,2.1,2.3,1.9,2.5,3,2.8,2.1,1.7,1.7,0.9,1,0.4,0.3,0.7,
朴子,2023/01/23 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
朴子,2023/01/23 00:00:00,WIND_DIREC,343,354,354,356,346,360,359,353,15,355,334,335,339,343,350,349,353,352,350,349,353,5,5,356,
朴子,2023/01/23 00:00:00,WIND_SPEED,0.4,1.6,1.7,1.7,2,1.8,2.1,1.2,1.4,1.5,2.9,2.5,3.4,3.3,2.9,3,2.6,2.1,1.9,1.6,2.4,2.3,2.5,2.8,
朴子,2023/01/24 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
朴子,2023/01/24 00:00:00,WIND_DIREC,356,3,355,3,358,359,355,356,1,2,357,354,357,355,352,359,358,359,0,358,358,1,1,358,
朴子,2023/01/24 00:00:00,WIND_SPEED,2.8,3.1,3.4,3.9,4.2,4.4,5,4.9,4.4,5.3,4.2,4.2,5.1,5.1,5.4,4.8,4.4,3.8,2.8,2.8,2.7,3.3,2.7,2.8,
朴子,2023/01/25 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
朴子,2023/01/25 00:00:00,WIND_DIREC,359,357,352,357,359,352,355,2,342,339,342,325,48,329,308,334,339,354,354,353,352,348,331,329,
朴子,2023/01/25 00:00:00,WIND_SPEED,2.7,2.2,1.6,1.1,1.3,1.1,0.8,1.5,1.4,0.3,1.2,1.3,1.2,1.4,2.3,2.8,2.7,2.4,1.6,1,1.2,1,0.4,0.4,
朴子,2023/01/26 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
