測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Unnamed: 27
桃園,2023/01/01 00:00:00,RAINFALL,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
桃園,2023/01/01 00:00:00,WIND_DIREC,47,48,48,60,52,52,50,61,58,60,63,69,61,58,61,64,72,68,68,64,62,59,63,61,
桃園,2023/01/01 00:00:00,WIND_SPEED,2.2,2.6,2.6,3.3,3.1,3,2.6,2.7,3.4,3.6,2.8,4.3,4.1,3.1,3,3.3,3.7,3.9,4.2,2.8,3.4,2.8,3.9,3.4,
桃園,2023/01/02 00:00:00,RAINFALL,0,0,0,0.5,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,
桃園,2023/01/02 00:00:00,WIND_DIREC,64,57,53,62,55,58,55,48,47,47,43,53,52,59,46,41,55,57,50,44,41,56,52,61,
桃園,2023/01/02 00:00:00,WIND_SPEED,3.8,3.4,2.1,3.7,2.3,3,2,2.3,2.7,3.2,3.3,3.4,2.9,3.3,3.6,3.2,3.7,2.9,2.8,2.1,1.5,2.5,2.7,2.8,
桃園,2023/01/03 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
桃園,2023/01/03 00:00:00,WIND_DIREC,51,54,33,21,58,21,61,47,61,64,59,56,56,56,59,56,64,49,50,57,53,69,58,56,
桃園,2023/01/03 00:00:00,WIND_SPEED,2.4,1.6,1.6,1.4,1.7,1.4,2.2,2.4,2.6,2.6,2.8,3.4,3.7,3.6,2.6,3.2,3.6,3,3.1,2.9,2.7,2.7,3.2,3.2,
桃園,2023/01/04 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,#,0,0,0,0,0,0,0,0,0,0,0,0,0,
桃園,2023/01/04 00:00:00,WIND_DIREC,58,64,55,57,60,58,54,56,64,60,63,49,60,63,65,66,51,64,55,44,60,52,45,48,
桃園,2023/01/04 00:00:00,WIND_SPEED,2.8,2.6,3.1,2.1,2.9,2.4,2.7,2.9,3.3,3.8,3.9,3.5,3,3.2,3.3,3.9,3.2,3.2,3.4,2.3,3.4,3.3,2.7,2.6,
桃園,2023/01/05 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
桃園,2023/01/05 00:00:00,WIND_DIREC,29,38,24,351,354,15,18,60,35,31,355,4,7,11,4,357,22,27,15,31,60,46,49,41,
桃園,2023/01/05 00:00:00,WIND_SPEED,2,1.3,0.8,1.2,2.3,1.8,2.5,1.1,1.7,1.5,1.5,2.3,2.3,4.3,3.2,2.2,2.1,1.7,2.4,1.9,0.9,0.6,1,1.4,
桃園,2023/01/06 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
桃園,2023/01/06 00:00:00,WIND_DIREC,95,3,11,11,38,33,19,358,25,19,20,17,15,24,19,34,82,50,66,77,90,100,71,46,
桃園,2023/01/06 00:00:00,WIND_SPEED,1.1,0.8,0.2,0.8,0.7,1.4,1.6,1.3,1.4,1.8,2.8,3.1,3.1,3.7,3.5,3,1.3,1.2,1.6,1.3,1.5,1.2,1.1,1.2,
桃園,2023/01/07 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
桃園,2023/01/07 00:00:00,WIND_DIREC,47,37,41,49,54,52,48,59,45,58,63,49,68,65,64,62,72,69,68,67,64,71,64,70,
