測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Unnamed: 27
楠梓,2023/01/01 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,
楠梓,2023/01/01 00:00:00,WIND_DIREC,334,30,4,26,39,336,348,47,40,326,342,329,335,329,29,65,351,332,352,32,353,30,326,330,
楠梓,2023/01/01 00:00:00,WIND_SPEED,1,1.3,0.5,1.7,0.8,0.8,0.9,0.9,1.9,1.3,1.5,1.5,1.7,1.5,1.6,1.3,1.4,2.4,1.1,1.9,1.3,1.6,1.4,1.4,
楠梓,2023/01/02 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
楠梓,2023/01/02 00:00:00,WIND_DIREC,13,38,38,329,28,34,25,348,40,37,333,16,38,45,331,320,343,40,352,345,21,329,337,47,
楠梓,2023/01/02 00:00:00,WIND_SPEED,1,1.9,1.3,2,1.8,1.6,1.6,1.1,2.9,2.3,2.4,2.9,2.4,2.1,0.9,2.1,1.6,1.3,1.1,1.5,1.8,2.1,2,1.7,
楠梓,2023/01/03 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
楠梓,2023/01/03 00:00:00,WIND_DIREC,38,333,334,39,337,346,5,336,9,329,20,328,332,13,17,292,304,332,20,29,335,332,333,316,
楠梓,2023/01/03 00:00:00,WIND_SPEED,1.7,1.8,1.5,1.4,1.9,1.3,0.5,1.6,1.4,1.5,2.3,2.8,2.3,1.4,1.7,2.2,1.9,1.6,1.8,1.1,1.9,1.6,1.3,1.7,
楠梓,2023/01/04 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
楠梓,2023/01/04 00:00:00,WIND_DIREC,349,336,48,50,50,37,55,43,50,16,334,6,229,276,270,273,267,267,334,342,25,344,46,353,
楠梓,2023/01/04 00:00:00,WIND_SPEED,1.3,2.1,2.3,2.2,2.3,2.3,2.3,2,2.2,1.4,1.9,1.4,0.6,2.2,2.4,2.1,1.7,1.2,1.4,1.5,1.1,1.2,1,1,
楠梓,2023/01/05 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
楠梓,2023/01/05 00:00:00,WIND_DIREC,24,30,27,44,37,34,30,35,19,43,9,351,270,263,291,246,275,247,305,340,40,33,327,9,
楠梓,2023/01/05 00:00:00,WIND_SPEED,1.7,1.2,1.6,0.9,1,0.9,0.8,1.4,1.2,2.2,1.7,1.8,1.6,1.5,1.5,1.1,0.8,0.3,0.3,1.1,1.2,1,0.7,1.3,
楠梓,2023/01/06 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#,#,0,0,0,0,0,0,0,0,
楠梓,2023/01/06 00:00:00,WIND_DIREC,21,39,40,13,27,46,42,25,37,335,342,319,3,16,347,311,355,338,0,329,25,26,335,325,
楠梓,2023/01/06 00:00:00,WIND_SPEED,1.6,1.7,1.7,1.5,2.1,2.1,1.7,1.5,2.5,3,2.6,2.1,1.9,2.8,1.8,1.5,2.2,1.9,1.8,1.2,1,1.4,0.7,1.3,
楠梓,2023/01/07 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
楠梓,2023/01/07 00:00:00,WIND_DIREC,21,34,349,359,30,356,53,32,25,60,240,259,272,236,263,244,236,249,227,249,95,88,100,55,
楠梓,2023/01/07 00:00:00,WIND_SPEED,1,0.6,1.5,0.7,1.4,0.6,0.9,0.9,1.4,1,1.2,1.6,2.2,1.7,2.1,1.8,1.4,0.3,1.1,0.4,0.3,0.3,0.4,0.3,
楠梓,2023/01/08 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
楠梓,2023/01/08 00:00:00,WIND_DIREC,334,34,319,322,301,329,315,313,44,75,299,294,280,280,310,264,266,314,330,55,41,56,309,352,
楠梓,2023/01/08 00:00:00,WIND_SPEED,0.5,1,1.1,1.1,0.8,1,0.6,1,1.2,1.2,1.6,2.2,2.3,2.2,1.4,1.8,1.7,1.8,1.7,1.4,0.6,0.3,0.8,1.1,
楠梓,2023/01/09 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
楠梓,2023/01/09 00:00:00,WIND_DIREC,8,65,357,28,57,335,293,348,9,41,331,271,294,292,303,28,308,329,336,335,357,56,25,320,
楠梓,2023/01/09 00:00:00,WIND_SPEED,1.2,0.6,0.4,2.1,1.2,0.4,0.3,1.2,0.6,1.3,1.8,2.1,2.6,2.3,1.8,2.2,2.2,2,2.5,2.3,1.2,1.2,0.9,0.5,
