測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Unnamed: 27
橋頭,2023/01/01 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,
橋頭,2023/01/01 00:00:00,WIND_DIREC,16,13,16,3,15,347,1,9,11,355,352,13,347,351,9,4,13,354,11,8,359,18,8,0,
橋頭,2023/01/01 00:00:00,WIND_SPEED,1.3,1.9,2,1.8,1.3,1.6,2,2,2.2,1.9,1.9,1.8,1.3,2.6,2,1.9,2.4,3,2.1,1.8,2.4,2,1.7,2,
橋頭,2023/01/02 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
橋頭,2023/01/02 00:00:00,WIND_DIREC,13,17,30,359,7,14,14,353,3,0,351,352,356,16,332,322,345,3,346,349,8,358,355,12,
橋頭,2023/01/02 00:00:00,WIND_SPEED,2,2.8,1.3,2,2.4,2.1,2,2.4,2.7,3.2,2.9,3.2,3.7,2.3,2.3,2.5,2.5,2,1.9,2.4,2.3,2.4,3.1,2.7,
橋頭,2023/01/03 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
橋頭,2023/01/03 00:00:00,WIND_DIREC,13,5,3,9,3,18,358,8,4,3,3,358,351,12,350,277,330,352,6,354,6,0,5,7,
橋頭,2023/01/03 00:00:00,WIND_SPEED,2.4,2,2.6,2.7,2.2,1.3,1.8,2.2,2.8,2,2.7,4,3.4,2.5,1.7,3,2,2.4,3.1,2.2,2.6,1.2,2.2,2.2,
橋頭,2023/01/04 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
橋頭,2023/01/04 00:00:00,WIND_DIREC,359,12,27,33,16,15,28,14,19,1,323,327,230,266,267,281,265,270,353,9,9,6,8,10,
橋頭,2023/01/04 00:00:00,WIND_SPEED,1.8,2.2,3.2,1.8,2.9,3.2,2.4,3,2.4,2.1,2.4,1.3,1.9,2.7,2.6,2.7,2.2,1.3,2.4,2.6,2.1,2.4,2.5,1.9,
橋頭,2023/01/05 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
橋頭,2023/01/05 00:00:00,WIND_DIREC,14,33,10,30,5,22,23,3,7,3,323,338,301,233,261,257,264,259,355,353,9,5,9,10,
橋頭,2023/01/05 00:00:00,WIND_SPEED,3.3,1.6,1.8,1.2,2.1,1.8,1.4,2.5,2.6,2.7,2.3,1.5,1.2,2.9,2.7,1.5,1.2,1.1,0.7,1.8,2.5,2.4,1.9,2.1,
橋頭,2023/01/06 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#,#,0,0,0,0,0,0,0,0,
橋頭,2023/01/06 00:00:00,WIND_DIREC,27,357,15,7,2,13,6,11,31,358,344,345,327,7,5,347,354,1,6,1,7,19,9,10,
橋頭,2023/01/06 00:00:00,WIND_SPEED,1.8,2.2,2.3,1.9,2.2,2.6,2.7,2.5,2.5,2.4,2.9,2.5,2.9,3.8,3.2,1.8,3.5,1.8,2.6,2.6,2.6,1.9,2.1,1.8,
橋頭,2023/01/07 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
橋頭,2023/01/07 00:00:00,WIND_DIREC,13,6,13,8,14,19,23,6,355,353,247,263,241,248,232,238,232,244,246,230,268,36,45,359,
橋頭,2023/01/07 00:00:00,WIND_SPEED,1.4,1.8,1.7,1.7,1.4,1.6,2,2.2,1.9,1.6,1.7,2.1,3.1,3.1,2.5,2.7,2.5,1.2,0.5,0.8,0.3,0.4,0.4,0.9,
橋頭,2023/01/08 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
橋頭,2023/01/08 00:00:00,WIND_DIREC,7,16,315,3,320,357,25,0,35,231,294,270,280,302,278,255,270,317,11,18,35,20,306,330,
橋頭,2023/01/08 00:00:00,WIND_SPEED,1.7,1.1,1.4,0.6,1,1.1,0.6,1.2,1.6,0.5,1.4,3,2.7,3.5,1.8,2.6,2.6,1.7,1.4,1.7,1.4,0.7,1,1.9,
橋頭,2023/01/09 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
橋頭,2023/01/09 00:00:00,WIND_DIREC,13,0,354,17,36,122,327,3,8,14,305,354,294,295,284,3,297,347,326,2,11,17,32,9,
橋頭,2023/01/09 00:00:00,WIND_SPEED,2.3,1,1,2.5,1.9,0.9,2,1.2,1.6,1.5,1.9,1.3,3.1,3.6,3.2,2.4,3.1,1.4,2.2,1.8,1.5,1,0.8,0.9,
橋頭,2023/01/10 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
橋頭,2023/01/10 00:00:00,WIND_DIREC,22,38,342,28,29,68,355,48,55,273,326,266,288,296,316,0,338,#,353,8,8,6,345,5,
橋頭,2023/01/10 00:00:00,WIND_SPEED,1.2,0.5,0.4,1.3,0.3,0.8,2.3,1.3,1.2,2.1,1.2,2.2,3.2,2.8,2.5,2.5,2.3,#,1.1,1.1,0.4,1.7,1.8,1.4,
橋頭,2023/01/11 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
橋頭,2023/01/11 00:00:00,WIND_DIREC,7,14,13,87,323,356,26,26,17,5,286,353,323,311,299,350,352,17,8,21,12,323,350,324,
橋頭,2023/01/11 00:00:00,WIND_SPEED,1.3,1.8,1.4,0.9,1.6,2.1,2.6,1.5,2,1.4,2.3,2.8,3.5,2.3,3.3,2.2,2.1,2.1,1.8,1.9,2,1,1.3,1.8,
橋頭,2023/01/12 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
橋頭,2023/01/12 00:00:00,WIND_DIREC,39,51,26,351,9,10,23,28,13,16,323,330,294,296,257,307,302,330,289,354,29,13,34,35,
橋頭,2023/01/12 00:00:00,WIND_SPEED,1.4,0.8,0.6,1.2,2,2.6,2.6,1.4,0.6,1.1,1.7,0.9,2.5,2.4,3.2,2.6,2.2,1,0.4,1.6,1.2,1.4,0.8,0.7,
橋頭,2023/01/13 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
橋頭,2023/01/13 00:00:00,WIND_DIREC,29,66,359,69,41,71,38,76,15,310,229,229,225,192,203,180,204,201,202,192,179,211,146,119,
橋頭,2023/01/13 00:00:00,WIND_SPEED,1,0.5,0.3,1,0.3,1,1.5,1.3,0.8,1.1,1.6,2,3.4,3.4,3.9,3,3.7,2.1,2,2.1,2.2,1.5,1.9,1.7,
橋頭,2023/01/14 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
橋頭,2023/01/14 00:00:00,WIND_DIREC,156,58,58,62,64,69,69,80,98,249,235,251,241,246,237,255,276,307,323,318,316,45,63,29,
橋頭,2023/01/14 00:00:00,WIND_SPEED,2.6,0.9,1,1.3,0.7,1.3,1.3,0.9,1.1,1.6,2.1,3.3,5,4.7,4.3,3.2,2.4,2,1.8,1.3,1.1,0.5,0.9,0.8,
橋頭,2023/01/15 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
橋頭,2023/01/15 00:00:00,WIND_DIREC,57,5,0,342,5,1,357,17,356,332,355,321,297,277,268,265,290,351,350,359,351,13,9,5,
橋頭,2023/01/15 00:00:00,WIND_SPEED,1.2,0.7,1.2,2.1,3.6,3.7,1.6,2.4,1.8,1.9,2.2,2.7,1.6,3.9,3.3,3.8,2.6,2.2,3,2.4,2.9,3,3,1.9,
橋頭,2023/01/16 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
橋頭,2023/01/16 00:00:00,WIND_DIREC,4,12,10,4,359,7,8,10,14,8,337,302,352,352,359,337,354,11,7,8,9,12,8,9,
橋頭,2023/01/16 00:00:00,WIND_SPEED,3.3,2.9,3,2.9,2.9,3.2,3.3,2.9,3.6,2,1.9,2.5,2.7,2.9,2.6,2.5,2.4,2.9,3.3,3.3,3.1,2.8,1.7,2.6,
橋頭,2023/01/17 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
橋頭,2023/01/17 00:00:00,WIND_DIREC,5,354,5,11,8,11,2,359,14,4,309,318,275,246,264,303,338,338,353,11,8,10,356,358,
橋頭,2023/01/17 00:00:00,WIND_SPEED,2.4,2.3,2.8,2.9,2.4,2.7,2.1,2.4,3,2.4,1.8,2.4,2.1,3.2,4.1,3.5,3.3,3.4,3.8,2.9,3.7,2.8,2,2.4,
橋頭,2023/01/18 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,#,#,#,0,0,0,0,0,0,0,#,0,0,
橋頭,2023/01/18 00:00:00,WIND_DIREC,6,0,15,4,355,8,0,11,355,3,345,2,323,350,351,356,341,2,2,9,6,14,350,9,
橋頭,2023/01/18 00:00:00,WIND_SPEED,3.3,4,3.1,2.8,3,3.6,3.3,4.2,3.5,4.2,2.2,3.5,2.9,3.6,3.2,3,2.2,2,2.8,2.3,2.4,2.7,2,3,
橋頭,2023/01/19 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
橋頭,2023/01/19 00:00:00,WIND_DIREC,6,10,358,10,9,19,9,5,22,318,326,9,296,286,267,331,336,348,2,350,355,7,7,9,
橋頭,2023/01/19 00:00:00,WIND_SPEED,3,3.2,3.5,3.4,2.8,2.6,1.7,3,2.9,1.8,1,1.6,2.5,2.5,3.8,2.8,2.4,1.5,2.3,2.3,1.6,2.2,2.4,2.1,
橋頭,2023/01/20 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
橋頭,2023/01/20 00:00:00,WIND_DIREC,14,10,12,12,4,7,16,4,9,356,339,347,358,268,284,352,343,349,6,12,6,5,7,7,
橋頭,2023/01/20 00:00:00,WIND_SPEED,2.6,2.7,2.7,2.9,2.4,1.5,3.1,2.4,3.2,3.4,2.5,2.6,2.7,3.7,2.7,2.4,2.4,1.9,1.7,2.6,2.1,2,1.9,2.5,
橋頭,2023/01/21 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
橋頭,2023/01/21 00:00:00,WIND_DIREC,10,16,28,8,353,11,18,14,351,34,358,267,254,253,246,255,274,292,329,6,10,359,329,10,
