測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Unnamed: 27
汐止,2023/01/01 00:00:00,RAINFALL,1.5,1,2,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
汐止,2023/01/01 00:00:00,WIND_DIREC,31,41,34,18,27,24,24,27,26,20,57,64,53,21,68,62,29,78,33,23,23,26,28,44,
汐止,2023/01/01 00:00:00,WIND_SPEED,2.2,2.3,2,2.7,0.7,2.7,1,1.8,2.5,2.6,2,3.2,1.9,1.7,2.6,2.1,1.2,1.8,1.4,1.4,2.1,1.6,1,0.6,
汐止,2023/01/02 00:00:00,RAINFALL,0,0,0.5,0.5,0,0,1,0.5,0.5,0,0,0,0,0,0,0,1,1,0.5,0.5,2,1,1,0.5,
汐止,2023/01/02 00:00:00,WIND_DIREC,19,41,12,11,30,66,105,7,30,27,25,20,31,25,26,32,52,25,24,36,32,36,34,21,
汐止,2023/01/02 00:00:00,WIND_SPEED,1.5,1.6,0.8,1,1.3,0.5,1.3,0.4,1.7,1.8,2.3,1.8,2.9,2.5,2.3,2.5,1.7,2.9,3.1,2.9,3.4,2.6,3.3,3.3,
汐止,2023/01/03 00:00:00,RAINFALL,0.5,1,0.5,0.5,0.5,0,0.5,0.5,1.5,0.5,0.5,0,1,0.5,0.5,#,0.5,0.5,0.5,0.5,0.5,1,1,0.5,
汐止,2023/01/03 00:00:00,WIND_DIREC,36,43,39,56,73,45,31,29,39,31,41,30,30,43,30,21,26,24,29,32,30,34,28,31,
汐止,2023/01/03 00:00:00,WIND_SPEED,3,2.7,2.4,1.2,1.7,0.3,2,2.7,2.6,3.3,2.8,1.4,3.1,3.1,3.2,2.6,2,2.5,2.9,3.3,2.8,2.9,2.2,1.2,
汐止,2023/01/04 00:00:00,RAINFALL,0.5,0.5,1,0.5,0,0.5,1,1,0.5,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,
汐止,2023/01/04 00:00:00,WIND_DIREC,28,27,41,25,31,61,44,23,72,19,20,25,30,36,25,16,21,36,21,30,33,70,49,51,
汐止,2023/01/04 00:00:00,WIND_SPEED,2.4,2.1,2.5,2.1,0.5,1.4,2.6,0.5,1.8,2.5,1.5,0.4,2,1.5,1.8,2.1,1.8,0.4,0.3,2,0.3,1.2,0.3,0.6,
汐止,2023/01/05 00:00:00,RAINFALL,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,3,0.5,0,0.5,
汐止,2023/01/05 00:00:00,WIND_DIREC,52,67,79,67,26,268,317,281,167,71,55,54,29,38,47,41,73,15,24,27,61,24,40,27,
汐止,2023/01/05 00:00:00,WIND_SPEED,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.8,1.2,2.2,1.8,1.4,1.7,0.8,0.3,0.3,0.3,0.3,2,1.9,2,
汐止,2023/01/06 00:00:00,RAINFALL,0.5,0,0,0.5,1,1,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
汐止,2023/01/06 00:00:00,WIND_DIREC,52,52,3,252,295,267,32,45,84,72,81,40,47,40,38,61,56,34,58,17,23,29,47,78,
汐止,2023/01/06 00:00:00,WIND_SPEED,0.8,1.2,0.3,0.3,0.3,0.3,0.3,0.4,0.8,0.9,1.2,1,2.2,1.5,2.1,1.4,0.6,0.6,0.7,0.5,0.3,0.5,0.5,1.1,
汐止,2023/01/07 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
