測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Unnamed: 27
竹山,2023/01/01 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
竹山,2023/01/01 00:00:00,WIND_DIREC,28,71,230,25,236,253,74,6,43,349,319,335,339,338,294,318,309,306,267,31,244,15,320,318,
竹山,2023/01/01 00:00:00,WIND_SPEED,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.8,0.4,1,0.8,1.2,0.5,0.4,0.4,0.4,0.4,0.4,
竹山,2023/01/02 00:00:00,RAINFALL,0,0,0,0.5,0,0.5,1,1,1,1,0.5,0.5,1,0,0.5,0,0,0,0,0,0,0,0,0,
竹山,2023/01/02 00:00:00,WIND_DIREC,331,324,305,41,25,284,331,29,13,13,344,241,80,266,325,6,14,322,291,326,8,31,25,14,
竹山,2023/01/02 00:00:00,WIND_SPEED,2,1.8,0.4,0.4,1.1,0.7,1.4,0.6,2.6,2.7,1.7,1.4,0.8,1,1.2,0.6,1.6,1.5,0.4,1.2,0.4,1.8,2.2,1.5,
竹山,2023/01/03 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
竹山,2023/01/03 00:00:00,WIND_DIREC,20,25,20,10,24,5,93,6,8,1,183,351,165,301,286,287,280,35,24,27,41,28,35,19,
竹山,2023/01/03 00:00:00,WIND_SPEED,1.9,2.7,3,2.5,2.6,2,1.2,0.8,1.2,0.5,1.3,1.5,1.3,1.9,1.5,1.6,0.9,2.3,2.9,2,1.4,1.6,1.9,1,
竹山,2023/01/04 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,#,#,0,0,0,0,0,0,0,0,0,
竹山,2023/01/04 00:00:00,WIND_DIREC,11,357,24,36,29,47,2,59,46,332,16,239,304,307,298,308,285,267,214,259,227,125,287,246,
竹山,2023/01/04 00:00:00,WIND_SPEED,1.4,1.5,1.8,1,1.3,1.1,1,1.1,0.9,1,1.3,1.3,1.6,2.1,1.4,1.7,1.6,1.7,0.9,0.4,0.5,0.6,0.4,0.4,
竹山,2023/01/05 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
竹山,2023/01/05 00:00:00,WIND_DIREC,72,12,115,335,81,256,75,337,96,39,28,1,310,251,8,19,23,42,25,27,170,141,48,34,
竹山,2023/01/05 00:00:00,WIND_SPEED,0.4,0.4,0.8,0.4,0.9,0.6,0.4,0.4,1,1.3,1.5,1.2,2.2,2,2.3,2.1,1.9,1.5,1.9,1,0.4,0.6,0.4,0.4,
竹山,2023/01/06 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
竹山,2023/01/06 00:00:00,WIND_DIREC,105,293,143,85,45,159,169,285,41,8,27,327,314,293,274,298,17,52,60,170,81,135,147,204,
竹山,2023/01/06 00:00:00,WIND_SPEED,0.4,0.4,0.4,0.5,0.6,0.4,0.4,0.4,1.9,2.3,1.5,1.9,2.5,2.8,1.8,2.7,2.2,1.8,0.9,1.1,0.6,0.4,0.7,0.4,
竹山,2023/01/07 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
竹山,2023/01/07 00:00:00,WIND_DIREC,8,83,129,285,80,45,87,130,344,193,308,341,320,263,283,307,284,206,199,256,5,240,4,351,
竹山,2023/01/07 00:00:00,WIND_SPEED,0.4,0.4,0.4,0.4,0.4,0.4,0.7,0.4,0.5,0.4,0.7,2,1.8,1.4,1.5,2.3,0.4,0.8,1.2,0.4,0.4,0.4,0.4,0.4,
竹山,2023/01/08 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
竹山,2023/01/08 00:00:00,WIND_DIREC,123,218,298,211,244,132,226,279,349,279,303,331,279,290,312,329,308,307,347,173,294,118,299,307,
竹山,2023/01/08 00:00:00,WIND_SPEED,0.4,0.4,0.4,0.4,0.4,0.4,0.8,0.4,0.4,1,1.3,2.7,1.6,2,2.4,2.3,1.8,2.1,0.4,0.9,0.8,0.4,0.4,0.6,
竹山,2023/01/09 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
竹山,2023/01/09 00:00:00,WIND_DIREC,3,130,218,346,338,336,55,263,11,332,327,66,8,317,297,323,153,345,26,16,4,106,91,261,
竹山,2023/01/09 00:00:00,WIND_SPEED,0.4,0.6,0.4,0.8,0.4,1.8,0.4,0.5,0.7,2.1,2.7,0.9,1.3,1.9,0.9,1.6,0.9,1.9,2.3,1.3,1,0.6,0.8,0.7,
竹山,2023/01/10 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
竹山,2023/01/10 00:00:00,WIND_DIREC,29,353,27,129,166,117,19,231,176,234,324,306,295,285,293,279,246,303,332,15,245,207,315,352,
竹山,2023/01/10 00:00:00,WIND_SPEED,0.4,0.9,0.9,1.1,1.3,1.4,0.6,0.4,0.4,1.1,1.8,1.8,2.1,1.2,1.3,1.1,0.8,0.7,0.4,0.4,0.5,0.8,1.1,0.7,
竹山,2023/01/11 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
竹山,2023/01/11 00:00:00,WIND_DIREC,162,267,132,30,277,9,52,29,327,23,306,317,260,301,272,290,284,330,284,125,264,247,268,347,
竹山,2023/01/11 00:00:00,WIND_SPEED,0.4,0.9,1.7,0.8,0.4,1.1,0.9,0.9,2,1,2.3,2.6,2.1,2.3,1.7,1.4,1.6,2,2.4,0.5,0.5,0.5,0.8,0.6,
竹山,2023/01/12 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
竹山,2023/01/12 00:00:00,WIND_DIREC,253,279,254,290,17,339,306,31,12,39,10,297,325,325,289,317,303,333,356,112,220,155,186,17,
竹山,2023/01/12 00:00:00,WIND_SPEED,0.6,0.4,0.4,1,0.4,0.4,0.4,0.7,0.6,1.1,1.8,1.6,2.1,2.6,2.1,2.6,0.9,1.1,0.8,0.8,0.6,0.5,0.4,0.4,
竹山,2023/01/13 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
竹山,2023/01/13 00:00:00,WIND_DIREC,164,47,191,238,135,66,124,284,34,359,128,292,201,226,313,270,336,214,262,146,210,35,321,358,
