測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Unnamed: 27
美濃,2023/01/01 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,
美濃,2023/01/01 00:00:00,WIND_DIREC,271,76,266,163,129,227,199,167,149,263,238,98,280,255,270,260,296,343,302,1,220,265,308,151,
美濃,2023/01/01 00:00:00,WIND_SPEED,0.3,0.3,0.4,0.8,0.3,0.2,0.5,0.3,0.6,1.3,0.9,0.6,0.6,0.9,1,0.7,0.9,0.5,0.5,0.2,0.6,0.5,0.4,0.4,
美濃,2023/01/02 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
美濃,2023/01/02 00:00:00,WIND_DIREC,342,16,174,217,11,277,329,234,290,322,286,304,300,284,306,217,306,249,235,275,307,326,270,266,
美濃,2023/01/02 00:00:00,WIND_SPEED,0.2,0.2,0.6,0.8,0.4,0.5,0.4,0.7,0.6,0.9,1.5,1.6,1.6,1,0.5,0.8,1.2,0.7,0.7,1.5,0.7,0.6,0.9,1,
美濃,2023/01/03 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,#,#,0,0,0,0,0,0,0,0,0,
美濃,2023/01/03 00:00:00,WIND_DIREC,296,259,193,214,271,5,188,248,156,251,269,300,221,63,117,125,#,296,282,267,256,264,251,30,
美濃,2023/01/03 00:00:00,WIND_SPEED,0.2,0.8,0.3,0.7,0.6,0.2,0.7,0.7,0.3,1.6,2.1,1.3,1.4,1.3,1.4,0.8,#,1.2,0.7,1,1.3,0.8,1,0.2,
美濃,2023/01/04 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
美濃,2023/01/04 00:00:00,WIND_DIREC,227,246,285,82,231,186,151,202,174,242,274,257,204,178,316,257,270,210,284,276,127,129,244,200,
美濃,2023/01/04 00:00:00,WIND_SPEED,1.2,0.9,0.4,0.2,0.6,0.5,0.4,0.8,1,1.8,1.2,1.6,2.1,1.9,1.3,1.9,2,1.7,1.4,0.6,0.4,0.3,0.5,0.6,
美濃,2023/01/05 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
美濃,2023/01/05 00:00:00,WIND_DIREC,264,153,127,129,216,131,43,285,228,226,212,221,216,179,161,261,104,85,32,98,55,6,76,314,
美濃,2023/01/05 00:00:00,WIND_SPEED,0.3,0.5,0.4,0.5,0.4,0.2,0.2,0.3,0.7,1.5,1.6,1.4,1.3,1.5,1.4,1,0.6,0.4,0.5,0.4,0.5,0.2,0.2,0.2,
美濃,2023/01/06 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
美濃,2023/01/06 00:00:00,WIND_DIREC,166,141,206,207,105,59,76,220,258,2,221,234,285,340,290,286,292,238,259,14,264,226,6,141,
美濃,2023/01/06 00:00:00,WIND_SPEED,0.4,0.4,0.2,0.3,0.2,0.2,0.3,0.4,1.1,1.1,1.1,1.7,1.7,1.9,1.4,0.9,1.5,1.5,1.7,0.2,0.8,0.5,0.2,0.3,
美濃,2023/01/07 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
美濃,2023/01/07 00:00:00,WIND_DIREC,300,64,80,220,99,71,103,214,220,213,236,242,203,270,246,244,224,227,187,266,131,53,86,17,
