測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Unnamed: 27
花蓮,2023/01/01 00:00:00,RAINFALL,4.5,2.5,2.5,0,1.5,0.5,1,3,3,1,0,0,0.5,0,0.5,1,3,0,0.5,0,0,0,0,0,
花蓮,2023/01/01 00:00:00,WIND_DIREC,352,0,340,3,340,341,5,325,344,359,34,352,303,355,83,12,31,339,328,284,185,249,260,237,
花蓮,2023/01/01 00:00:00,WIND_SPEED,2.4,1,1.4,0.7,1.8,1.1,1.2,1.5,2.2,2.4,1.6,3.5,2,0.5,1.3,0.8,1.9,1.8,1.5,0.9,0.8,0.9,0.9,0.5,
花蓮,2023/01/02 00:00:00,RAINFALL,0,3,5,1.5,4.5,1.5,1,1,1.5,6,5,9.5,4,2,0.5,0.5,1.5,1,0,0.5,0,0,0,0,
花蓮,2023/01/02 00:00:00,WIND_DIREC,270,337,355,359,33,339,329,336,303,11,7,15,45,38,22,39,63,339,3,341,320,298,236,241,
花蓮,2023/01/02 00:00:00,WIND_SPEED,0.5,1.7,1.5,1.5,1.2,1.3,1.1,1.2,1.1,2,2.2,1.8,1.8,2.3,1.7,2,3,2.8,0.7,2.8,2,1.2,1.9,2,
花蓮,2023/01/03 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
花蓮,2023/01/03 00:00:00,WIND_DIREC,253,246,244,245,246,244,241,238,243,211,41,58,31,48,44,45,47,42,65,60,37,325,12,34,
花蓮,2023/01/03 00:00:00,WIND_SPEED,1.6,1.7,1.5,2,1.2,1.8,2.1,2.3,2.1,1.3,1.5,2.7,2.9,4.4,4.4,4.2,3.6,4.2,3,2.4,2.7,1.9,2.5,1.7,
花蓮,2023/01/04 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,#,0,0,0,0,0,0,0,0,0,0,0,0,0,
花蓮,2023/01/04 00:00:00,WIND_DIREC,41,28,40,278,287,304,304,209,293,42,71,63,60,79,73,68,44,357,344,300,306,297,251,253,
花蓮,2023/01/04 00:00:00,WIND_SPEED,1.9,2.1,1.7,1,1.2,0.8,1.2,0.2,0.4,2.3,3.8,2.9,3.6,2.8,2.5,3.1,2.2,1.2,1.6,1.5,1.2,1.4,1,0.7,
花蓮,2023/01/05 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,9,4,2,
花蓮,2023/01/05 00:00:00,WIND_DIREC,240,246,236,240,244,248,237,243,225,55,58,80,124,92,82,323,339,145,318,318,21,72,42,347,
花蓮,2023/01/05 00:00:00,WIND_SPEED,1.7,1.3,1.9,1.7,1.6,2.4,2.1,2.7,1.8,0.9,2.5,2.1,1.9,3.2,1.3,1.9,1,1.2,1.6,1.7,2.5,1.3,1.4,0.5,
花蓮,2023/01/06 00:00:00,RAINFALL,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
花蓮,2023/01/06 00:00:00,WIND_DIREC,311,279,231,241,257,230,231,240,218,239,62,46,71,67,61,70,53,38,65,294,276,297,283,302,
花蓮,2023/01/06 00:00:00,WIND_SPEED,0.3,0.4,1.1,1.9,1.6,0.8,2.1,1.7,1.9,2.2,1.8,2.8,4.1,4.7,4.6,3.6,3,2.6,2.3,1.1,1.5,0.4,0.8,1.3,
花蓮,2023/01/07 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
花蓮,2023/01/07 00:00:00,WIND_DIREC,313,264,241,273,347,56,64,40,44,14,12,352,348,347,341,357,49,334,316,213,248,260,233,229,
花蓮,2023/01/07 00:00:00,WIND_SPEED,0.9,1,1.6,0.6,1.2,3.6,3.9,3.4,3.5,3.2,2.4,1.9,2.1,2,1.4,1.5,1.5,1.8,1.6,0.7,1.9,1.2,1.9,1.5,
花蓮,2023/01/08 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
花蓮,2023/01/08 00:00:00,WIND_DIREC,222,238,216,245,276,231,242,226,256,233,221,100,102,116,312,326,283,282,243,235,232,242,220,223,
花蓮,2023/01/08 00:00:00,WIND_SPEED,0.7,2.5,1.4,1.6,0.9,1.1,2,1.5,1,1.3,1.2,1.3,2.1,1.6,1.7,1.7,0.9,0.7,0.7,1.3,2.5,2.2,2.2,2.5,
花蓮,2023/01/09 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
花蓮,2023/01/09 00:00:00,WIND_DIREC,225,223,235,209,222,228,225,225,225,218,202,147,121,155,163,174,321,315,314,232,230,234,228,239,
花蓮,2023/01/09 00:00:00,WIND_SPEED,3,2.5,2.5,3.1,3.2,3.1,2.5,3.4,3.4,2.3,2.1,1.8,2.3,2.9,2.8,0.9,2.5,1.9,1.4,1.4,2,0.9,2,1.4,
花蓮,2023/01/10 00:00:00,RAINFALL,0,0,0.5,5,6.5,9.5,6,1.5,0.5,0.5,0,2,5.5,0,0,0,0,0,0,0,0,0,0.5,0.5,
花蓮,2023/01/10 00:00:00,WIND_DIREC,238,247,348,56,75,357,318,297,292,27,27,64,333,279,229,223,232,89,345,333,276,180,303,240,
花蓮,2023/01/10 00:00:00,WIND_SPEED,1.8,1.2,1.4,2.7,1.6,0.7,0.6,1.2,1.9,2.2,2,2.5,2.8,1.3,2.3,2,1.6,2.7,1.4,1.9,2.2,1.4,1.1,1.3,
花蓮,2023/01/11 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,2.5,0.5,3,3,1.5,1.5,
花蓮,2023/01/11 00:00:00,WIND_DIREC,276,298,235,291,268,228,229,252,252,85,73,68,81,30,71,93,89,121,123,110,103,319,310,238,
花蓮,2023/01/11 00:00:00,WIND_SPEED,0.6,0.7,1.1,1.4,1.5,1.8,2.5,1.4,0.7,1.6,1.8,2.2,3.2,2.5,1.9,1.2,3.1,2.6,3.1,3.9,1.7,1.9,2.5,1.5,
花蓮,2023/01/12 00:00:00,RAINFALL,0.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
花蓮,2023/01/12 00:00:00,WIND_DIREC,221,283,285,285,228,229,223,240,232,227,187,152,160,177,181,167,188,189,245,251,235,227,220,225,
花蓮,2023/01/12 00:00:00,WIND_SPEED,1.6,0.9,1.1,2.3,2.8,1.8,2.4,2,2.3,2.9,1.8,2.3,2.5,2.2,2,1.8,1.4,0.8,1.5,1.1,1.5,2.2,2.5,2.3,
花蓮,2023/01/13 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
花蓮,2023/01/13 00:00:00,WIND_DIREC,223,223,228,220,194,225,223,212,223,204,169,165,159,150,163,185,233,346,290,275,214,257,239,231,
花蓮,2023/01/13 00:00:00,WIND_SPEED,2.7,2.5,2.5,2.2,1.7,2.9,3.4,3,3.5,2.4,2,1.7,3,2.9,3.3,3,2.3,0.9,0.6,1,0.9,1.1,1.9,2,
花蓮,2023/01/14 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
花蓮,2023/01/14 00:00:00,WIND_DIREC,259,246,245,244,231,223,229,226,236,236,153,144,119,108,95,14,29,346,350,330,340,271,310,229,
花蓮,2023/01/14 00:00:00,WIND_SPEED,1.4,2,2.7,2.2,2.2,1.6,2,2.7,3.3,1.9,1.3,2.1,3.2,2.4,2.6,1.6,2.1,1.8,1.2,1.9,1.5,1,1.4,1.8,
花蓮,2023/01/15 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
花蓮,2023/01/15 00:00:00,WIND_DIREC,313,232,53,54,68,62,57,52,46,48,55,47,52,50,51,66,54,54,54,65,55,50,58,65,
花蓮,2023/01/15 00:00:00,WIND_SPEED,0.7,1.8,2.2,2.9,3.8,4.1,4.2,3.2,2.8,2.7,3.4,3.9,3.9,3.9,3.8,4.3,2.9,3.2,3.6,2.6,3.1,4.2,4.5,3.8,
花蓮,2023/01/16 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
花蓮,2023/01/16 00:00:00,WIND_DIREC,55,40,52,55,306,316,32,240,237,106,69,52,59,48,63,50,54,312,5,50,310,307,308,278,
花蓮,2023/01/16 00:00:00,WIND_SPEED,3.2,3.7,2.7,2.3,1.9,2.3,2,1.6,2.1,2.3,3.9,3.2,3.4,3.5,3.5,3,3.4,1.6,1.6,1.7,1.5,1.3,1.5,1,
花蓮,2023/01/17 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,#,0,0,0,0,0,1,6.5,1,0,0,0,1,0.5,
花蓮,2023/01/17 00:00:00,WIND_DIREC,332,297,236,227,246,222,236,233,232,151,72,52,77,82,33,61,50,351,341,224,221,225,193,242,
花蓮,2023/01/17 00:00:00,WIND_SPEED,1.7,1,1.4,2.1,2,1.4,2.1,2.3,2.3,1.2,2.2,2.4,3.1,2.9,2.5,1.4,1.4,1.9,1.2,1.6,1.2,1.7,1.7,1.8,
花蓮,2023/01/18 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#,
花蓮,2023/01/18 00:00:00,WIND_DIREC,257,247,246,239,232,226,255,250,19,59,35,74,71,64,65,52,46,46,11,3,329,309,280,4,
花蓮,2023/01/18 00:00:00,WIND_SPEED,1,0.6,1.5,1.4,1.8,1.7,0.6,1,1.1,3.1,3.5,2.6,3.1,3.5,3.4,3.2,3.1,3.1,1.8,1.5,1.3,0.8,1.2,1.1,
花蓮,2023/01/19 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
花蓮,2023/01/19 00:00:00,WIND_DIREC,303,302,243,246,296,289,293,251,333,24,33,25,92,113,95,11,316,42,302,293,308,212,237,91,
花蓮,2023/01/19 00:00:00,WIND_SPEED,1.4,1.3,0.8,0.8,0.9,0.7,1.2,1.7,1.3,2.6,2.2,1.9,1.7,2.4,2.3,1.5,2.2,0.6,1.7,1.1,1.2,0.6,1,0.4,
花蓮,2023/01/20 00:00:00,RAINFALL,0,0,0,0,0,0,2,4,1.5,1,2,0.5,0,0,0.5,0,0,0,0.5,0,0,0.5,0,0.5,
花蓮,2023/01/20 00:00:00,WIND_DIREC,333,276,229,235,240,238,231,293,37,40,71,44,45,25,29,35,54,355,26,360,341,16,332,300,
花蓮,2023/01/20 00:00:00,WIND_SPEED,1.3,1,1.1,1.2,2.1,1.7,1.5,2.2,2.5,2.7,2.2,3.4,2.9,2.8,2.2,2.9,2.2,1.9,1.9,1.7,1.1,1.2,1.5,1.2,
花蓮,2023/01/21 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
花蓮,2023/01/21 00:00:00,WIND_DIREC,312,283,290,260,235,182,245,233,221,237,166,25,1,94,59,23,77,35,309,288,276,241,225,233,
花蓮,2023/01/21 00:00:00,WIND_SPEED,1.3,0.8,0.9,0.4,0.5,0.6,1.2,1.2,1.9,1.3,0.3,1,1.3,2.3,1.5,1.5,0.7,0.8,0.7,1.3,0.5,1.8,1.5,1.8,
花蓮,2023/01/22 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
花蓮,2023/01/22 00:00:00,WIND_DIREC,229,237,218,240,238,241,273,225,217,212,260,93,83,36,61,27,351,36,46,53,27,337,261,289,
花蓮,2023/01/22 00:00:00,WIND_SPEED,2.4,2.4,2.3,2.1,1.4,1.5,1.2,2.6,3.1,1.9,1.4,2.8,2.6,2.1,1.9,2,2.1,1.2,2,2.4,1.5,1.1,0.5,1.1,
花蓮,2023/01/23 00:00:00,RAINFALL,0,1,0,0,0,0,0,0,0,0,2,0,0.5,1.5,0,0,0,0.5,0,0,0,0,0,0,
花蓮,2023/01/23 00:00:00,WIND_DIREC,339,348,20,246,290,237,232,327,243,118,331,81,74,356,58,56,62,346,48,54,52,38,321,292,
花蓮,2023/01/23 00:00:00,WIND_SPEED,1.4,2.6,1.3,0.5,1.3,1.6,1,0.7,1.7,1.6,1.3,1.6,1.9,1.6,2,1.8,2.2,1.6,2.5,3.1,2,2.7,1.1,1.5,
花蓮,2023/01/24 00:00:00,RAINFALL,0,3,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
花蓮,2023/01/24 00:00:00,WIND_DIREC,248,248,17,49,62,60,63,66,68,67,68,70,65,66,66,64,60,59,59,57,65,67,62,62,
花蓮,2023/01/24 00:00:00,WIND_SPEED,0.9,2.2,2.8,2.3,3.6,5,4.9,4.2,6,5.1,5.7,5.8,5.5,6.6,5.6,6,6.2,5.1,4.1,4.1,4.6,5.5,5.4,6.3,
花蓮,2023/01/25 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
花蓮,2023/01/25 00:00:00,WIND_DIREC,65,44,262,28,290,289,276,268,299,36,354,37,84,21,10,11,57,41,341,244,287,252,219,251,
花蓮,2023/01/25 00:00:00,WIND_SPEED,4.3,3.4,1.5,2.2,1.7,2,1.1,1.2,1.3,2.3,1.5,1.9,2.3,1.3,2.1,3.2,2.3,2.5,1.6,0.7,0.9,1.7,1,1.4,
花蓮,2023/01/26 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
花蓮,2023/01/26 00:00:00,WIND_DIREC,271,226,237,233,242,217,237,223,213,204,150,128,135,123,125,123,119,95,318,305,229,228,230,153,
花蓮,2023/01/26 00:00:00,WIND_SPEED,1.1,2.1,2.7,2.1,2.4,2.3,2.8,3.1,2.4,2.5,2.2,2.6,2.5,3.1,2.2,1.8,1.5,0.8,1.8,1.7,1.7,1.6,2.1,0.4,
花蓮,2023/01/27 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
花蓮,2023/01/27 00:00:00,WIND_DIREC,324,287,236,219,242,230,227,152,57,59,58,72,64,65,66,68,66,69,62,69,70,64,63,44,
花蓮,2023/01/27 00:00:00,WIND_SPEED,0.9,1.4,2.1,1.1,1.6,2,1.9,1.4,3.2,4.4,4.6,4.1,3.6,4.6,4.2,5.6,5.5,5.2,5,5.5,4.1,4.3,4.8,3.2,
花蓮,2023/01/28 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
花蓮,2023/01/28 00:00:00,WIND_DIREC,35,261,56,46,246,264,276,187,245,224,231,289,271,63,352,30,301,258,238,237,232,243,229,235,
花蓮,2023/01/28 00:00:00,WIND_SPEED,3.9,1.6,2.2,1.9,3.7,1.3,1.9,1.6,2.6,2.4,2.1,1.4,0.9,2.1,1.6,1.8,2.1,1.9,1.9,1.9,1.7,1.9,2.3,1.8,
花蓮,2023/01/29 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
花蓮,2023/01/29 00:00:00,WIND_DIREC,229,290,282,256,255,231,227,258,222,235,240,57,55,58,10,328,311,301,295,308,229,230,242,257,
花蓮,2023/01/29 00:00:00,WIND_SPEED,1.4,0.9,1,1.2,1,1.1,1.8,1.2,1.6,2,1.2,1.7,2.5,1.8,1.9,1.9,1.7,1.5,1.2,1.1,1.1,1.6,1.3,0.8,
花蓮,2023/01/30 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
花蓮,2023/01/30 00:00:00,WIND_DIREC,250,235,247,270,274,229,238,264,264,10,63,52,35,33,31,3,30,10,306,312,258,240,232,215,
花蓮,2023/01/30 00:00:00,WIND_SPEED,1.8,1.7,1.6,1,0.9,1.1,1.3,0.8,0.9,2.1,2.3,2.4,2.3,2.3,1.8,2.5,2.5,2,1.3,1.5,1,1.1,2.2,1.5,
花蓮,2023/01/31 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,#,0,0,0,0,0,0,0,0,0,0,0,0,0,
花蓮,2023/01/31 00:00:00,WIND_DIREC,225,243,217,241,225,226,230,221,220,219,200,145,157,163,162,173,180,230,269,255,248,224,223,229,
花蓮,2023/01/31 00:00:00,WIND_SPEED,1.5,1.4,1.5,2.1,2.2,2.6,3.5,3.9,3.2,2.9,2.4,2.9,3.5,3.8,3.5,3.1,3,1.9,1.3,1.9,1.6,3.2,3.5,3.4,
花蓮,2023/02/01 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
花蓮,2023/02/01 00:00:00,WIND_DIREC,219,219,225,229,224,216,225,230,227,232,225,191,120,117,134,116,121,171,318,308,301,263,308,233,
花蓮,2023/02/01 00:00:00,WIND_SPEED,3.8,3.7,4.6,4.2,3.6,2.8,3.9,3,3.6,2.6,2.8,2.1,2,2.6,2.6,1.6,0.7,0.4,1.2,1.4,0.8,0.9,1,2.1,
