測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Unnamed: 27
苗栗,2023/01/01 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
苗栗,2023/01/01 00:00:00,WIND_DIREC,23,15,163,169,142,161,54,141,37,81,159,75,103,333,357,359,358,11,348,3,336,4,26,6,
苗栗,2023/01/01 00:00:00,WIND_SPEED,0.3,1.1,0.5,0.4,0.3,0.9,0.5,1.2,0.3,0.3,0.8,0.3,0.3,1.8,3.2,3,1.9,1.2,1.3,0.8,1.3,0.5,0.5,1.4,
苗栗,2023/01/02 00:00:00,RAINFALL,0,0.5,0.5,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
苗栗,2023/01/02 00:00:00,WIND_DIREC,25,15,132,8,258,163,156,28,135,19,6,5,0,5,16,11,1,4,3,5,8,7,11,1,
苗栗,2023/01/02 00:00:00,WIND_SPEED,0.8,0.6,0.4,0.3,0.6,0.5,0.9,0.7,1.1,1.5,2.2,2.4,2.2,2.8,3.7,3.7,3.5,3.4,3.6,3.8,3.9,4.6,3.8,3.3,
苗栗,2023/01/03 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#,#,0,0,0,0,0,0,0,0,
苗栗,2023/01/03 00:00:00,WIND_DIREC,4,9,8,11,9,20,4,9,10,12,11,16,11,10,2,12,13,17,16,14,9,13,25,13,
苗栗,2023/01/03 00:00:00,WIND_SPEED,3.7,3.5,4,3.9,4.4,3.5,4.1,3.6,4.4,4.4,4.2,4.7,4,3.3,4.1,3.1,4.1,5.3,5.5,4.4,4.6,4.4,4,4.4,
苗栗,2023/01/04 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
苗栗,2023/01/04 00:00:00,WIND_DIREC,8,16,13,8,7,11,15,13,13,16,10,19,10,10,12,16,10,17,1,8,11,20,8,17,
苗栗,2023/01/04 00:00:00,WIND_SPEED,3.3,3.9,4,4.1,4,4.2,4.1,3.7,3.8,3.8,3.3,3.7,4.2,3.1,3.7,3.2,2.6,2.1,2.4,1.1,0.3,1,0.3,0.3,
苗栗,2023/01/05 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
苗栗,2023/01/05 00:00:00,WIND_DIREC,125,131,32,12,16,15,10,16,14,18,7,2,359,14,16,22,15,10,18,15,16,11,10,14,
