測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Unnamed: 27
菜寮,2023/01/01 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,
菜寮,2023/01/01 00:00:00,WIND_DIREC,88,107,79,86,92,82,87,96,94,86,90,89,82,87,90,88,87,86,87,84,82,88,88,85,
菜寮,2023/01/01 00:00:00,WIND_SPEED,2.2,2.2,1.9,3,3.2,2.9,2.6,3.3,3.7,4.2,3.7,4.3,3.5,3.5,4.8,4,3.3,4.1,2.8,3,2.9,2.3,2.8,3.1,
菜寮,2023/01/02 00:00:00,RAINFALL,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
菜寮,2023/01/02 00:00:00,WIND_DIREC,83,79,89,105,114,94,119,115,72,88,98,85,77,88,73,72,87,89,82,85,84,94,91,97,
菜寮,2023/01/02 00:00:00,WIND_SPEED,2.6,1.9,2,1.9,2.3,2,1.4,2.1,1.5,2.6,3.2,3,2.7,2.7,2.3,2.5,3,2.6,2.6,2.4,3,3,2.6,2.8,
菜寮,2023/01/03 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
菜寮,2023/01/03 00:00:00,WIND_DIREC,106,110,137,309,181,81,112,103,83,95,97,103,79,106,102,108,110,102,101,102,105,98,106,101,
菜寮,2023/01/03 00:00:00,WIND_SPEED,2.8,1.7,1.3,1.1,1.7,1.8,2.9,3.2,2,3,3.5,3.8,3.8,3.7,3.9,4.1,3.7,4.1,3.7,3.7,3.2,3.7,3.6,2.8,
菜寮,2023/01/04 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
菜寮,2023/01/04 00:00:00,WIND_DIREC,115,111,110,105,116,91,108,97,92,93,96,99,93,99,100,102,91,94,99,99,98,94,91,83,
菜寮,2023/01/04 00:00:00,WIND_SPEED,2.9,3.1,3,2.8,3.3,3.1,2.9,3.2,3.5,3.6,3.5,3.6,3.3,4,4.7,4.2,3.6,3.5,3.6,2.7,3.6,3.1,2.1,2.3,
菜寮,2023/01/05 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,
菜寮,2023/01/05 00:00:00,WIND_DIREC,83,81,34,299,261,327,170,174,186,169,90,82,99,319,320,313,297,288,64,120,130,104,119,98,
菜寮,2023/01/05 00:00:00,WIND_SPEED,2.4,1,0.8,1.4,0.7,0.5,1.3,1.5,0.8,1.2,2.6,2.7,2.5,2.5,1.8,1.7,1.6,0.9,0.6,1.4,1.7,2.1,2.2,1.3,
菜寮,2023/01/06 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,#,0,0,0,0,0,0,0,0,0,0,0,0,
菜寮,2023/01/06 00:00:00,WIND_DIREC,120,85,287,291,289,279,352,268,3,291,304,7,332,301,33,349,92,89,93,89,110,108,115,118,
菜寮,2023/01/06 00:00:00,WIND_SPEED,1.6,1,1.3,0.8,1.2,0.9,1.5,1.1,0.6,1.7,1.2,1.7,2.4,2.3,1.2,0.8,2.2,1.8,1.5,2,2.6,1.5,1.5,2,
菜寮,2023/01/07 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
