測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Unnamed: 27
萬里,2023/01/01 00:00:00,RAINFALL,0.5,1.5,2,3.5,0.5,4,12,7,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,
萬里,2023/01/01 00:00:00,WIND_DIREC,45,50,47,52,65,87,51,71,127,216,69,58,126,137,177,153,163,212,133,217,218,202,217,196,
萬里,2023/01/01 00:00:00,WIND_SPEED,7.2,7,7.7,6.4,4.1,3.2,9.5,4.4,1.4,1.2,4.5,2.5,2.4,1.3,1.8,1.1,1.9,1.9,2.4,1.9,1,1.6,2.3,2,
萬里,2023/01/02 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
萬里,2023/01/02 00:00:00,WIND_DIREC,194,139,191,198,75,71,259,199,267,300,24,49,43,33,43,35,41,37,31,28,24,26,39,41,
萬里,2023/01/02 00:00:00,WIND_SPEED,1.6,2.1,1.3,1.3,1.9,1.7,1.3,0.6,1,0.8,3.3,9.1,6,5.5,6.6,5.8,6.1,6.2,7.9,8.1,6.9,6.3,5,5.5,
萬里,2023/01/03 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,1,0,0.5,
萬里,2023/01/03 00:00:00,WIND_DIREC,29,24,22,24,37,38,34,46,25,25,33,26,33,43,39,32,37,38,34,36,30,39,34,38,
萬里,2023/01/03 00:00:00,WIND_SPEED,4.5,6.4,6.5,4.6,6.4,4.4,5.4,5.7,6.8,6.5,5.4,7,6,6.9,5.4,5.2,6.4,5,5.6,5.3,6.6,5.6,4.9,5.8,
萬里,2023/01/04 00:00:00,RAINFALL,0,1,0,0.5,0.5,0,1,0,0,0.5,0,0,0,1,0.5,0,0.5,1.5,1,0,0,1,2,1,
萬里,2023/01/04 00:00:00,WIND_DIREC,35,25,39,29,43,36,46,49,48,49,51,49,49,50,53,57,70,77,71,128,206,214,73,73,
萬里,2023/01/04 00:00:00,WIND_SPEED,5.7,6.5,5,4.8,5.5,5.3,4.8,7,5.8,6.1,7,5.9,5.4,5.2,3.8,4.7,3.8,2.3,3.8,1.3,1.8,0.9,1.4,3.5,
萬里,2023/01/05 00:00:00,RAINFALL,0.5,0.5,1.5,0,0,0,0,0.5,0,0,0,#,#,0,0,0,0,3,0,4,0,0,0,0,
萬里,2023/01/05 00:00:00,WIND_DIREC,14,216,209,206,203,256,348,22,22,24,24,27,#,21,11,21,1,37,211,36,18,50,4,18,
萬里,2023/01/05 00:00:00,WIND_SPEED,1.3,0.9,1,1.5,1.5,1.4,1.4,4.9,6.9,7,4.8,3.7,#,4.2,3.1,3.1,1.3,0.4,1,3.2,1,6,2.4,2.4,
萬里,2023/01/06 00:00:00,RAINFALL,0,0,0,1,3.5,3.5,1,6,2,1.5,1,12,6,0.5,0,0.5,0,0,0,0,0,0,0,0,
萬里,2023/01/06 00:00:00,WIND_DIREC,47,51,358,19,9,12,20,2,232,359,4,353,15,16,13,20,23,23,32,68,192,210,196,16,
萬里,2023/01/06 00:00:00,WIND_SPEED,3.1,3,2.5,2.5,4,3.8,4.5,2.9,1.2,3.2,2.2,3.4,3.9,5.7,3.8,5.4,4.8,4.7,2.7,1.6,1.3,2.1,1.5,1.8,
