測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Unnamed: 27
豐原,2023/01/01 00:00:00,RAINFALL,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
豐原,2023/01/01 00:00:00,WIND_DIREC,283,299,301,149,220,90,31,42,194,249,329,19,315,305,279,1,339,348,34,83,0,0,352,58,
豐原,2023/01/01 00:00:00,WIND_SPEED,0.8,0.9,0.6,0.6,0.7,0.8,0.2,0.6,0.7,0.5,1.5,1,1.2,2.1,1.2,1.3,0.4,0.4,0.8,0.8,0.6,0.4,1,0.3,
豐原,2023/01/02 00:00:00,RAINFALL,0,0.5,0,1,0.5,0.5,0.5,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,
豐原,2023/01/02 00:00:00,WIND_DIREC,121,83,11,0,211,21,97,298,69,10,25,351,355,356,4,45,7,11,16,9,3,15,14,2,
豐原,2023/01/02 00:00:00,WIND_SPEED,1,1.4,0.3,0.4,0.2,0.3,1.6,1.4,0.7,2,1.3,1.8,1.5,1.4,2,2.1,1.4,1.2,1.8,2.2,1.7,1.2,0.9,1.1,
豐原,2023/01/03 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
豐原,2023/01/03 00:00:00,WIND_DIREC,23,6,29,7,25,53,10,13,34,30,331,37,347,359,11,16,15,19,31,30,33,40,30,12,
豐原,2023/01/03 00:00:00,WIND_SPEED,1.2,1.5,2.2,1.3,1.5,3,1.5,1.2,1.9,1.8,2.8,0.9,2.8,2,2,2.5,1.9,1.8,2.8,2.5,2.5,2.5,2.1,1.2,
豐原,2023/01/04 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,#,#,0,0,0,0,0,0,0,0,0,0,0,0,
豐原,2023/01/04 00:00:00,WIND_DIREC,45,48,22,31,24,7,31,29,28,30,13,303,289,37,338,325,320,336,0,96,77,90,102,75,
