測站,日期,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Unnamed: 27
麥寮,2023/01/01 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
麥寮,2023/01/01 00:00:00,WIND_DIREC,358,2,20,7,352,357,1,1,358,3,358,358,358,3,354,359,354,353,359,358,1,3,356,2,
麥寮,2023/01/01 00:00:00,WIND_SPEED,4.7,5.2,2.9,2.2,1.8,3.1,4.7,4.9,4.5,4.1,5.2,6.1,5.4,5.9,5.4,5.5,5.9,5.8,5.2,6,4.9,5.6,5.2,5.6,
麥寮,2023/01/02 00:00:00,RAINFALL,0,0,0,0,0.5,0.5,0.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
麥寮,2023/01/02 00:00:00,WIND_DIREC,354,358,6,2,3,0,0,355,3,357,357,2,359,3,2,2,1,5,356,2,1,2,2,2,
麥寮,2023/01/02 00:00:00,WIND_SPEED,4.6,6,5.1,5.1,3.9,4.3,4,4.3,3.7,5.6,5.7,5.5,6.7,5.7,6.2,6.4,7,5.8,6.4,6.7,5.4,5.9,5.5,4.7,
麥寮,2023/01/03 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#,#,#,#,#,0,0,0,
麥寮,2023/01/03 00:00:00,WIND_DIREC,5,1,4,2,3,358,2,3,0,359,2,5,359,1,359,359,1,2,5,4,5,4,3,1,
麥寮,2023/01/03 00:00:00,WIND_SPEED,5.8,6.9,3.9,4.6,4.3,3.3,6.6,7.4,6.8,6.6,5.8,6.2,5.7,7.7,8,5.4,6.7,6.1,7,6.7,6.2,6.2,5,4.1,
麥寮,2023/01/04 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
麥寮,2023/01/04 00:00:00,WIND_DIREC,4,4,3,0,5,2,2,2,3,358,357,352,359,6,351,359,357,354,357,0,0,3,3,2,
麥寮,2023/01/04 00:00:00,WIND_SPEED,4.5,5,4,4.8,5.1,4.9,4.3,4.5,5.9,5,4.5,4.3,5.6,7.1,5.3,6,6.2,6.4,5.1,5.1,5.4,5.1,4.6,4.5,
麥寮,2023/01/05 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
麥寮,2023/01/05 00:00:00,WIND_DIREC,2,3,5,358,1,5,0,3,4,2,3,6,360,2,357,359,359,357,355,353,354,354,357,3,
麥寮,2023/01/05 00:00:00,WIND_SPEED,5.1,5.4,4.7,4.5,5.4,5.3,5.4,6,6.2,6.7,6.8,7,6.9,7.8,6.9,7.2,6.7,5.3,5.3,5.3,5.2,4.9,5.2,5.4,
麥寮,2023/01/06 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
麥寮,2023/01/06 00:00:00,WIND_DIREC,3,1,1,359,1,357,0,358,4,2,1,3,356,7,359,358,359,0,358,7,3,5,1,3,
麥寮,2023/01/06 00:00:00,WIND_SPEED,5.2,5.8,5.6,5.9,6.8,5.3,5.7,6.7,7.8,7.3,5.9,7.3,7.6,7.6,7.8,7.9,7.7,6.3,5.7,4.2,4.8,3.2,3.4,3.7,
麥寮,2023/01/07 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
麥寮,2023/01/07 00:00:00,WIND_DIREC,359,1,0,2,359,0,6,359,2,0,3,2,2,4,352,358,358,356,5,1,357,358,5,4,
麥寮,2023/01/07 00:00:00,WIND_SPEED,3,4.2,4.6,4,4.7,5.1,4.6,4.4,5.3,4.7,4.2,5.5,5.7,6,4.6,3.5,4.1,4.6,4.7,4.2,4.5,4.4,3.2,2.9,
麥寮,2023/01/08 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
麥寮,2023/01/08 00:00:00,WIND_DIREC,354,0,1,17,357,5,4,8,355,5,334,1,324,355,359,350,358,7,3,341,340,0,351,359,
麥寮,2023/01/08 00:00:00,WIND_SPEED,2.4,1.4,1.3,1.5,1.7,1.8,1.3,1.7,2.6,2.5,2.5,2.9,3.1,3.8,4.8,3.8,4.3,3.4,2.7,2.4,2.3,3,3,2.4,
麥寮,2023/01/09 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
麥寮,2023/01/09 00:00:00,WIND_DIREC,0,31,8,359,348,358,1,4,1,355,354,359,336,345,#,1,355,357,358,5,354,2,355,350,
麥寮,2023/01/09 00:00:00,WIND_SPEED,2.4,1.3,1.2,1.8,1.8,2.9,2,3.3,3.7,3.4,4,3,3.1,2.9,#,5.9,4.5,5,3.6,2.7,2.4,2.3,2.5,2.6,
麥寮,2023/01/10 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
麥寮,2023/01/10 00:00:00,WIND_DIREC,351,34,12,1,336,356,357,8,342,356,355,349,354,2,358,3,358,357,0,350,356,2,358,8,
麥寮,2023/01/10 00:00:00,WIND_SPEED,2.4,3.5,2.7,1,2.2,4,4.6,2,1.9,3,4.1,4.1,4,5.5,5.9,4.9,4.6,3.1,4.3,2.2,5,4,4.7,4.5,
麥寮,2023/01/11 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
麥寮,2023/01/11 00:00:00,WIND_DIREC,2,3,339,358,354,358,355,355,0,350,352,0,0,0,356,358,1,354,357,2,6,358,355,5,
麥寮,2023/01/11 00:00:00,WIND_SPEED,3.7,4.6,1.2,4,3.4,3,2.8,3.5,3.8,3.8,4.6,4.8,4.7,5.3,5.3,5.6,4.1,4.5,4.3,3.9,2.8,2.7,2.4,2.1,
麥寮,2023/01/12 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
麥寮,2023/01/12 00:00:00,WIND_DIREC,348,7,347,349,2,10,11,9,353,2,10,355,341,343,351,1,7,357,8,7,7,357,339,12,
麥寮,2023/01/12 00:00:00,WIND_SPEED,1.2,1.5,2.1,2,2.3,3.1,1.6,1.6,1.3,2.6,2.5,2.3,2.4,2.2,2.6,2.6,2.8,2.5,2.4,2.2,1.7,1.2,1.2,1.5,
麥寮,2023/01/13 00:00:00,RAINFALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
麥寮,2023/01/13 00:00:00,WIND_DIREC,20,3,9,34,0,29,66,37,0,35,34,103,245,211,254,242,225,205,167,162,169,147,230,198,
